Group,Y,X
0,48,215
0,95,239
0,140,125
0,215,49
0,188,137
0,135,205
0,164,214
0,171,219
0,168,237
0,185,243
0,121,255
0,133,263
0,144,273
0,166,286
0,151,305
0,96,306
0,201,485
0,218,496
0,249,489
0,299,460
0,335,472
0,377,457
0,374,444
0,371,429
0,369,426
0,353,365
0,267,422
0,254,415
0,245,406
0,250,398
0,250,388
0,255,315
0,242,307
0,207,286
0,187,295
0,131,452
0,254,258
0,201,203
0,269,153
0,279,96
0,298,154
0,294,214
0,329,223
0,352,240
0,374,82
0,410,157
0,395,177
0,403,206
0,423,245
0,418,256
0,433,269
0,428,297
1,98,320
1,135,278
1,157,372
1,177,362
1,175,477
1,191,452
1,209,477
1,237,466
1,246,464
1,289,456
1,254,358
1,363,451
1,358,415
1,357,408
1,366,359
1,388,363
1,436,320
1,343,358
1,213,213
1,340,157
1,196,169
1,217,100
1,244,25
