Group,Y,X
1,31,268
0,84,212
0,106,105
0,151,252
0,158,445
0,161,112
1,169,403
0,171,208
0,174,389
0,179,237
0,199,295
1,202,393
1,207,101
0,215,394
0,231,337
1,232,471
1,251,442
1,261,348
0,285,202
0,292,301
1,291,321
1,297,281
1,318,120
0,323,27
0,335,68
0,341,334
0,350,219
0,354,345
1,358,94
0,359,102
0,358,314
0,365,270
0,368,217
1,379,215
1,391,303
0,396,307
1,399,285
0,400,154
1,404,141
0,407,71
1,407,160
0,412,307
0,415,334
1,418,315
0,423,195
1,422,301
1,428,397
1,441,359
1,443,206
0,444,137
0,448,133
1,448,307
1,457,312
1,458,148
0,460,194
