Group,Y,X
0,23,253
0,36,264
0,34,296
0,36,322
0,41,356
0,48,290
0,55,343
0,62,420
0,69,336
0,69,377
0,77,360
0,85,296
0,91,87
0,133,452
0,134,408
0,139,362
0,150,393
0,178,241
0,177,469
0,189,454
0,199,470
0,212,487
0,223,225
0,220,466
0,240,196
0,244,250
0,257,412
0,268,182
0,261,467
0,268,473
0,273,380
0,272,444
0,280,433
0,282,450
0,288,254
0,292,394
0,291,454
0,299,313
0,302,331
0,306,375
0,318,106
0,316,249
0,314,436
0,318,386
0,328,377
0,329,26
0,336,253
0,357,309
0,359,124
0,358,414
0,360,396
0,365,468
0,364,272
0,377,322
0,381,359
0,384,54
0,388,348
0,388,394
0,391,120
0,397,110
0,395,198
0,399,136
0,412,153
0,424,170
0,423,396
0,439,101
0,449,162
0,449,366
0,107,393
0,197,434
0,209,126
0,254,440
0,317,473
0,389,188
0,412,219
0,435,164
0,468,199
0,483,304
0,486,215
