Group,Y,X
0,18,212
0,19,284
0,21,262
0,25,184
0,30,169
0,38,156
0,40,245
0,44,220
0,48,327
0,48,215
0,54,127
0,57,170
0,60,245
0,63,179
0,63,206
0,71,335
0,73,131
0,72,194
0,80,246
0,83,118
0,86,348
0,87,83
0,90,284
0,90,314
0,89,137
0,91,202
0,95,149
0,95,355
0,98,245
0,102,226
0,105,350
0,111,369
0,111,133
0,117,100
0,114,354
0,122,142
0,129,156
0,129,198
0,131,66
0,131,247
0,131,82
0,132,372
0,132,185
0,136,396
0,143,384
0,147,121
0,151,430
0,152,405
0,152,351
0,153,227
0,160,286
0,161,345
0,164,414
0,166,168
0,167,32
0,170,436
0,169,137
0,171,85
0,173,97
0,183,281
0,184,449
0,187,311
0,187,200
0,188,207
0,190,100
0,192,303
0,194,79
0,195,404
0,196,449
0,196,9
0,196,434
0,196,42
0,198,234
0,203,50
0,202,38
0,202,306
0,204,356
0,210,426
0,206,59
0,208,441
0,209,78
0,208,338
0,211,294
0,211,305
0,212,17
0,214,132
0,215,388
0,216,355
0,217,407
0,219,70
0,220,269
0,222,467
0,226,22
0,224,278
0,225,475
0,226,90
0,226,295
0,228,201
0,230,364
0,231,112
0,236,9
0,237,121
0,242,204
0,243,347
0,244,184
0,251,325
0,255,218
0,258,122
0,263,337
0,264,368
0,268,302
0,270,443
0,270,45
0,272,275
0,273,419
0,278,47
0,280,181
0,280,412
0,284,16
0,286,211
0,289,11
0,292,73
0,290,96
0,291,113
0,295,172
0,294,451
0,298,247
0,301,200
0,302,354
0,305,424
0,308,68
0,310,260
0,312,41
0,312,183
0,314,101
0,315,307
0,317,457
0,317,298
0,318,45
0,319,271
0,323,75
0,326,165
0,328,186
0,330,301
0,332,267
0,337,65
0,335,151
0,337,29
0,337,56
0,343,107
0,347,426
0,352,197
0,350,330
0,354,265
0,359,406
0,362,227
0,365,272
0,368,394
0,368,157
0,368,360
0,368,327
0,372,434
0,375,122
0,375,69
0,378,89
0,379,220
0,381,152
0,380,176
0,381,246
0,384,263
0,388,80
0,391,329
0,392,181
0,395,246
0,396,405
0,404,216
0,409,326
0,409,271
0,413,284
0,418,360
0,427,318
0,429,203
0,440,171
0,452,315
0,455,227
0,463,310
0,469,228
0,467,264
0,466,200
0,470,284
0,470,251
0,43,209
0,50,225
0,55,216
0,116,165
0,242,157
0,257,358
0,264,27
0,294,416
0,318,226
0,322,413
0,358,89
