Group,Y,X
0,20,317
0,146,258
0,162,263
0,185,144
0,228,257
0,295,245
0,306,46
0,361,461
0,51,209
0,66,162
0,68,393
0,72,329
0,75,402
0,92,334
0,106,304
0,113,321
0,117,346
0,122,281
0,124,379
0,134,351
0,137,135
0,144,233
0,147,115
0,146,167
0,155,284
0,173,248
0,197,113
0,199,379
0,200,260
0,201,165
0,207,237
0,208,355
0,215,84
0,219,304
0,233,214
0,250,427
0,252,234
0,253,214
0,254,357
0,260,349
0,265,388
0,268,199
0,268,365
0,284,317
0,293,337
0,293,267
0,295,374
0,301,216
0,299,407
0,303,153
0,309,454
0,330,341
0,333,185
0,343,282
0,353,398
0,360,199
0,361,454
0,370,120
0,371,456
0,374,454
0,390,445
0,398,255
0,400,344
0,403,110
0,406,396
0,418,424
0,425,417
