Group,Y,X
0,60,316
0,90,324
0,133,425
0,137,371
0,148,329
0,116,325
0,107,315
0,98,315
0,185,342
0,215,350
0,211,381
0,219,383
0,203,394
0,211,400
0,212,411
0,241,431
0,233,442
0,320,468
0,280,416
0,358,428
0,311,387
0,326,395
0,324,376
0,340,376
0,363,386
0,391,372
0,385,366
0,397,359
0,397,353
0,403,353
0,395,345
0,405,343
0,410,334
0,422,328
0,436,340
0,455,349
0,473,325
0,449,311
0,457,302
0,482,297
0,458,281
0,457,272
0,458,266
0,456,263
0,469,263
0,465,257
0,470,252
0,456,252
0,485,265
0,474,245
0,478,237
0,468,218
0,474,208
0,489,234
0,466,175
0,445,144
0,440,136
0,439,150
0,442,156
0,440,165
0,431,184
0,416,181
0,419,197
0,432,215
0,430,219
0,434,226
0,447,234
0,447,240
0,439,244
0,432,257
0,435,280
0,443,284
0,436,292
0,439,297
0,425,308
0,432,312
0,407,290
0,411,296
0,426,285
0,420,108
0,416,105
0,410,97
0,411,136
0,407,131
0,401,126
0,395,124
0,399,146
0,407,156
0,407,163
0,415,219
0,406,222
0,409,232
0,409,248
0,381,257
0,381,264
0,380,290
0,390,314
0,381,321
0,381,328
0,371,342
0,367,331
0,356,329
0,372,315
0,366,313
0,366,318
0,370,301
0,361,301
0,352,301
0,357,288
0,365,284
0,369,278
0,366,272
0,361,255
0,371,241
0,360,229
0,364,224
0,368,229
0,369,216
0,385,198
0,386,191
0,374,178
0,356,190
0,373,181
0,355,209
0,335,251
0,332,274
0,339,258
0,325,261
0,331,296
0,311,295
0,308,320
0,314,361
0,298,360
0,293,348
0,263,312
0,238,350
0,281,319
0,290,308
0,287,297
0,279,279
0,267,278
0,255,281
0,231,308
0,230,278
0,224,278
0,202,284
0,173,298
0,202,277
0,202,270
0,196,265
0,167,265
0,177,249
0,159,257
0,139,269
0,145,252
0,131,281
0,121,286
0,115,268
0,102,267
0,117,247
0,109,245
0,84,217
0,92,202
0,97,211
0,97,227
0,105,223
0,124,209
0,130,209
0,130,216
0,144,232
0,200,240
0,225,254
0,272,233
0,258,205
0,243,205
0,231,203
0,256,191
0,281,191
0,288,196
0,294,186
0,307,190
0,321,204
0,335,186
0,322,177
0,310,163
0,289,172
0,349,175
0,360,165
0,364,141
0,367,132
0,360,132
0,356,124
0,378,118
0,376,110
0,383,100
0,372,101
0,377,93
0,367,87
0,362,83
0,353,83
0,347,83
0,347,93
0,327,90
0,322,72
0,309,57
0,259,47
0,219,62
0,259,125
0,239,122
0,240,136
0,238,114
0,233,114
0,212,136
0,221,99
0,211,93
0,194,91
0,197,98
0,197,107
0,182,116
0,204,171
0,184,165
0,160,199
0,158,139
0,132,167
0,123,186
0,128,158
0,108,165
0,130,127
0,109,119
0,105,78
0,118,125
0,120,146
0,90,160
0,81,143
0,71,142
0,68,151
0,113,193
