Group,Y,X
0,79,99
0,228,50
0,244,32
0,218,95
0,176,123
0,199,147
0,130,116
0,100,220
0,72,224
0,83,262
0,72,380
0,87,395
0,129,433
0,122,424
0,184,476
0,165,479
0,177,490
0,152,422
0,141,348
0,180,441
0,100,362
0,93,363
0,79,419
0,31,342
0,25,233
0,185,396
0,265,457
0,268,478
0,204,427
0,192,450
0,314,449
0,327,459
0,413,421
0,438,427
0,381,461
0,467,351
0,404,299
0,469,238
0,409,241
0,392,245
0,355,306
0,317,381
0,276,346
0,277,317
0,190,323
0,177,266
0,273,194
0,346,155
0,362,197
0,422,183
0,407,122
0,389,126
0,400,75
0,380,50
0,338,26
0,217,12
0,324,493
