Group,Y,X
0,233,25
0,317,73
0,414,173
0,486,325
0,455,343
0,431,398
0,362,177
0,342,197
0,296,184
0,284,182
0,189,114
0,165,135
0,130,145
0,75,148
0,112,193
0,83,206
0,48,217
0,57,223
0,23,197
0,27,233
0,65,404
0,60,298
0,85,298
0,124,275
0,148,226
0,184,197
0,194,194
0,218,198
0,259,215
0,326,233
0,296,255
0,173,240
0,230,267
0,242,285
0,145,301
0,173,316
0,107,390
0,115,408
0,140,421
0,190,469
0,188,397
0,206,365
0,194,336
0,224,417
0,237,388
0,265,358
0,306,326
0,320,337
0,347,375
0,365,381
0,375,386
0,363,430
0,271,401
0,258,402
0,176,488
0,500,311
