Group,Y,X
0,251,13
0,318,48
0,301,73
0,334,82
0,61,119
0,21,163
0,28,178
0,28,219
0,57,269
0,54,347
0,46,381
0,79,402
0,95,345
0,146,462
0,98,417
0,82,418
0,175,435
0,229,445
0,321,453
0,403,459
0,453,368
0,474,328
0,455,317
0,461,283
0,443,229
0,410,264
0,397,300
0,386,307
0,358,326
0,376,353
0,340,380
0,290,359
0,277,351
0,263,352
0,256,344
0,260,376
0,259,396
0,196,399
0,183,337
0,167,313
0,148,362
0,88,272
0,94,187
0,85,173
0,183,140
0,171,32
0,334,177
0,397,159
0,386,195
0,335,207
0,349,262
0,201,249
0,175,268
0,188,362
