Group,Y,X
0,124,79
0,138,95
0,151,90
0,41,193
0,52,331
0,94,362
0,105,293
0,90,250
0,106,226
0,160,156
0,157,183
0,156,276
0,168,258
0,179,253
0,188,225
0,199,190
0,240,83
0,246,104
0,248,139
0,269,149
0,293,129
0,297,88
0,323,60
0,415,126
0,424,130
0,457,190
0,466,257
0,423,320
0,418,391
0,423,406
0,330,297
0,220,249
0,266,316
0,286,341
0,192,355
0,187,369
0,234,413
0,248,479
0,299,416
0,360,463
0,350,472
0,368,411
0,358,422
0,373,341
0,417,313
0,395,319
0,405,366
0,311,454
0,227,368
0,127,399
0,127,431
0,106,336
0,242,180
0,166,128
0,393,204
0,410,419
