Group,Y,X
0,114,93
0,49,346
0,66,360
0,77,232
0,120,191
0,133,184
0,175,34
0,172,52
0,154,98
0,143,137
0,125,239
0,110,247
0,112,295
0,132,296
0,147,325
0,167,326
0,152,345
0,122,344
0,125,405
0,182,425
0,200,46
0,223,44
0,197,70
0,180,77
0,176,136
0,192,136
0,151,241
0,160,277
0,180,251
0,198,202
0,215,147
0,227,124
0,219,131
0,221,99
0,225,75
0,242,74
0,277,55
0,290,32
0,270,86
0,270,115
0,239,143
0,238,155
0,219,168
0,222,195
0,259,155
0,267,181
0,253,205
0,250,264
0,263,273
0,243,290
0,251,310
0,240,346
0,215,348
0,226,372
0,292,149
0,383,75
0,425,92
0,388,152
0,296,162
0,299,176
0,415,164
0,483,177
0,479,219
0,465,242
0,416,213
0,415,273
0,440,323
0,379,305
0,286,232
0,297,243
0,313,237
0,330,237
0,331,274
0,296,283
0,313,284
0,336,290
0,345,300
0,313,302
0,296,346
0,304,374
0,22,221
