Group,Y,X
0,66,190
0,74,262
0,77,310
0,76,277
0,77,266
0,83,285
0,91,163
0,92,225
0,98,322
0,99,90
0,116,162
0,122,319
0,130,195
0,140,171
0,147,139
0,163,386
0,166,102
0,172,136
0,175,260
0,178,376
0,179,132
0,179,323
0,193,76
0,193,312
0,197,98
0,197,349
0,199,413
0,200,270
0,203,336
0,212,467
0,227,73
0,231,357
0,234,143
0,242,183
0,245,339
0,251,160
0,259,371
0,261,147
0,262,253
0,263,350
0,265,29
0,265,286
0,267,113
0,270,5
0,271,148
0,273,178
0,283,448
0,309,405
0,314,428
0,318,222
0,331,240
0,333,169
0,353,72
0,361,156
0,364,431
0,367,178
0,373,83
0,374,335
0,390,183
0,393,164
0,393,110
0,406,228
0,410,163
0,414,373
0,435,181
0,441,282
0,450,278
0,90,179
0,114,214
0,154,126
0,194,251
0,223,107
0,293,373
0,295,377
0,322,188
0,442,316
0,442,172
0,446,135
0,446,307
0,457,198
0,470,161
