Group,Y,X
0,255,255
0,53,235
0,69,297
0,81,337
0,86,362
0,98,379
0,113,283
0,136,245
0,159,147
0,158,227
0,161,277
0,163,391
0,168,265
0,167,286
0,170,254
0,170,311
0,172,278
0,172,293
0,174,330
0,175,251
0,178,149
0,186,87
0,184,253
0,186,274
0,192,132
0,191,303
0,196,317
0,204,252
0,208,321
0,214,170
0,224,72
0,216,328
0,223,435
0,226,329
0,230,152
0,232,337
0,236,145
0,241,246
0,244,211
0,246,296
0,251,273
0,255,227
0,257,150
0,256,262
0,257,296
0,257,317
0,261,235
0,264,295
0,270,283
0,278,321
0,281,261
0,296,307
0,299,203
0,317,334
0,323,193
0,329,336
0,339,392
0,341,337
0,359,328
0,363,299
0,380,422
0,399,133
0,408,160
0,414,137
0,423,395
0,423,150
0,429,301
0,429,154
0,432,137
0,433,360
0,430,431
0,434,175
0,451,208
0,456,278
0,457,230
0,460,315
0,469,287
0,500,289
0,54,224
0,49,300
0,56,293
0,72,336
0,79,384
0,82,405
0,195,271
0,198,295
0,206,244
0,226,309
0,240,404
0,291,295
0,304,318
0,308,244
0,328,431
