Group,Y,X
0,108,243
0,120,236
0,120,342
0,176,246
0,250,200
0,291,145
0,292,160
0,307,234
0,311,299
0,310,282
0,340,296
0,409,157
0,409,52
0,412,209
0,435,74
0,437,76
0,476,170
0,27,215
0,36,328
0,49,341
0,54,139
0,63,355
0,74,227
0,80,102
0,84,410
0,90,92
0,93,88
0,108,90
0,114,70
0,118,67
0,122,401
0,131,294
0,142,131
0,143,319
0,149,235
0,150,91
0,156,272
0,181,421
0,188,132
0,194,199
0,196,65
0,198,43
0,212,346
0,220,120
0,221,40
0,221,73
0,236,141
0,242,287
0,247,258
0,258,151
0,268,80
0,285,30
0,297,172
0,295,240
0,299,372
0,298,375
0,327,232
0,370,457
0,379,68
0,380,150
0,411,268
0,413,431
