Group,Y,X
1,66,239
1,67,278
0,68,403
1,76,283
1,86,307
0,86,374
1,106,157
1,125,221
1,135,232
1,141,150
1,143,285
1,150,312
1,150,349
0,153,395
1,184,131
1,192,78
1,190,149
1,199,175
1,202,334
1,206,121
1,219,232
1,232,96
1,234,327
1,237,347
1,242,165
1,245,75
1,249,257
1,255,117
1,259,59
1,266,149
1,268,81
1,269,384
1,275,220
1,278,268
1,278,382
1,281,186
0,281,473
1,289,374
0,303,41
1,310,279
0,318,312
1,332,193
0,342,305
1,347,221
1,350,158
0,350,277
0,355,335
1,356,220
0,365,446
1,368,284
0,369,343
1,381,160
1,385,237
1,406,402
0,412,237
1,410,259
1,414,383
1,415,214
0,427,360
0,439,313
1,481,354
