Group,Y,X
0,45,230
0,71,378
0,71,221
0,75,418
0,78,95
0,79,257
0,83,392
0,97,360
0,97,217
1,98,257
0,116,418
1,121,251
0,127,428
0,129,113
1,130,214
1,132,239
0,139,345
0,154,418
0,177,119
0,178,261
0,179,392
0,179,435
0,188,315
0,189,446
0,189,483
0,197,142
0,201,423
0,213,93
0,226,46
0,265,473
0,267,187
0,273,341
0,273,310
1,279,456
1,321,98
0,342,154
1,342,75
1,348,386
0,355,299
0,361,194
0,376,46
1,376,322
0,383,125
1,381,322
0,390,241
0,395,74
0,397,294
0,404,118
0,406,236
0,429,419
1,438,251
0,465,346
0,465,231
