Group,Y,X
1,49,342
1,74,228
1,107,243
1,108,92
1,109,292
1,119,187
1,120,343
1,121,237
1,121,401
1,130,181
1,131,294
1,142,132
1,143,321
1,149,235
1,151,94
1,152,342
1,156,273
1,164,323
1,168,48
1,172,130
1,173,31
1,176,247
1,177,75
1,181,422
1,188,133
1,194,199
1,195,65
1,199,43
1,213,143
1,212,347
1,217,164
1,220,193
1,221,73
1,220,96
1,222,40
1,222,371
1,234,344
1,236,151
1,236,142
1,239,71
1,242,288
1,246,259
1,248,305
1,250,200
1,258,153
1,260,269
1,265,178
1,267,112
1,268,82
1,274,53
1,283,228
1,290,146
1,291,341
1,292,161
1,296,172
1,296,280
1,295,241
1,299,372
1,307,235
1,311,300
1,310,282
1,327,234
1,329,271
1,333,288
1,341,297
1,377,303
1,378,69
1,382,151
1,409,158
1,412,210
1,412,269
0,413,98
0,414,413
1,421,92
1,436,320
1,459,239
1,474,214
