Group,Y,X
0,73,363
0,138,411
0,166,439
0,181,448
0,175,417
0,210,429
0,114,337
0,95,268
0,90,254
0,93,248
0,63,235
0,89,228
0,116,212
0,112,249
0,83,178
0,135,100
0,193,370
0,240,364
0,268,355
0,314,383
0,346,419
0,349,409
0,358,409
0,361,400
0,344,391
0,361,385
0,401,356
0,410,349
0,352,339
0,335,338
0,324,349
0,401,310
0,450,293
0,396,282
0,379,289
0,359,273
0,349,296
0,342,301
0,334,303
0,342,292
0,334,283
0,329,288
0,320,297
0,282,301
0,281,316
0,329,274
0,313,272
0,296,279
0,294,269
0,298,262
0,333,253
0,355,234
0,336,226
0,322,218
0,331,209
0,357,204
0,369,162
0,309,207
0,306,216
0,305,226
0,300,229
0,302,236
0,281,236
0,272,206
0,256,186
0,237,196
0,244,237
0,236,242
0,236,269
0,225,281
0,230,297
0,199,306
0,312,157
0,301,152
0,272,163
0,261,163
0,264,147
0,224,154
0,216,150
0,208,168
0,200,194
0,199,200
0,177,216
0,168,227
0,163,242
0,181,240
0,193,232
0,199,269
0,211,233
0,214,236
0,216,245
0,217,263
0,370,185
0,380,120
0,371,129
0,363,115
0,349,115
0,344,126
0,322,117
0,306,105
0,310,91
0,304,86
0,296,74
0,293,94
0,283,97
0,271,118
0,296,95
0,237,85
0,192,103
0,187,133
