Group,Y,X
0,9,239
0,11,258
0,18,285
0,38,304
0,47,332
0,80,378
0,71,340
0,94,315
0,87,349
0,99,357
0,107,355
0,116,358
0,114,371
0,134,377
0,109,391
0,148,387
0,137,398
0,154,407
0,161,429
0,154,436
0,153,456
0,179,476
0,172,454
0,172,443
0,171,435
0,172,459
0,163,416
0,187,446
0,188,454
0,195,455
0,204,451
0,199,434
0,210,444
0,205,428
0,216,430
0,197,407
0,205,464
0,201,475
0,208,474
0,226,470
0,226,481
0,137,478
0,105,440
0,42,249
0,20,215
0,28,210
0,18,197
0,24,188
0,32,175
0,39,161
0,49,154
0,60,173
0,67,183
0,74,198
0,66,209
0,45,199
0,44,223
0,54,227
0,61,248
0,83,249
0,93,286
0,102,249
0,107,227
0,95,207
0,58,131
0,65,101
0,74,106
0,77,114
0,88,122
0,78,134
0,86,80
0,90,87
0,98,129
0,93,139
0,94,150
0,118,138
0,129,148
0,130,164
0,118,161
0,118,167
0,133,189
0,136,200
0,158,228
0,132,252
0,162,289
0,169,349
0,153,352
0,219,391
0,222,409
0,244,452
0,237,462
0,243,482
0,189,494
0,226,499
0,279,499
0,273,482
0,285,482
0,159,487
0,316,491
0,289,469
0,301,469
0,298,456
0,256,472
0,275,447
0,317,460
0,351,452
0,335,469
0,401,405
0,383,434
0,376,440
0,388,442
0,376,472
0,414,428
0,441,415
0,444,394
0,456,388
0,451,378
0,455,367
0,427,365
0,483,339
0,489,315
0,480,301
0,472,312
0,457,317
0,434,320
0,417,330
0,400,329
0,395,334
0,376,364
0,374,334
0,350,332
0,375,397
0,365,409
0,349,432
0,328,411
0,324,420
0,308,424
0,301,422
0,299,417
0,288,415
0,277,425
0,307,357
0,267,372
0,256,364
0,261,360
0,248,351
0,235,371
0,221,359
0,204,358
0,211,344
0,253,328
0,266,342
0,291,320
0,291,325
0,291,315
0,319,311
0,334,305
0,323,300
0,273,305
0,278,277
0,232,299
0,227,281
0,224,274
0,213,296
0,213,307
0,206,309
0,194,304
0,189,313
0,185,286
0,202,237
0,190,211
0,190,205
0,167,170
0,171,140
0,147,125
0,134,84
0,133,71
0,173,37
0,165,65
0,175,102
0,192,105
0,195,84
0,208,42
0,196,17
0,216,18
0,229,18
0,229,28
0,236,22
0,240,12
0,232,40
0,219,73
0,210,83
0,225,92
0,235,116
0,239,126
0,216,135
0,244,159
0,248,188
0,246,211
0,229,205
0,259,223
0,271,234
0,302,251
0,312,264
0,320,274
0,336,272
0,357,267
0,368,274
0,389,264
0,413,274
0,415,288
0,452,267
0,453,277
0,472,265
0,474,288
0,476,255
0,489,231
0,473,232
0,458,228
0,483,202
0,487,194
0,437,205
0,444,175
0,455,150
0,410,220
0,399,250
0,385,250
0,385,226
0,380,217
0,366,231
0,357,200
0,325,228
0,305,205
0,293,214
0,285,186
0,300,176
0,312,185
0,333,187
0,329,167
0,339,155
0,374,158
0,383,156
0,383,176
0,381,194
0,397,184
0,434,125
0,464,137
0,503,256
0,503,289
0,377,123
0,391,63
0,384,63
0,394,81
0,382,92
0,362,92
0,349,113
0,319,104
0,340,66
0,327,76
0,311,73
0,296,76
0,294,99
0,295,117
0,259,127
0,270,29
0,272,48
0,282,48
0,288,23
0,293,13
0,315,41
0,323,48
0,341,33
0,344,26
0,364,39
0,358,47
0,503,216
