Group,Y,X
0,68,194
0,76,315
0,68,246
0,75,264
0,75,267
0,79,275
0,75,278
0,83,287
0,95,229
0,117,218
0,89,214
0,91,182
0,94,165
0,76,102
0,122,167
0,143,176
0,132,200
0,102,328
0,93,384
0,125,325
0,182,265
0,195,256
0,201,255
0,180,381
0,168,389
0,183,326
0,197,312
0,206,340
0,201,351
0,233,361
0,248,340
0,265,376
0,202,416
0,214,468
0,213,491
0,221,425
0,287,451
0,296,432
0,313,408
0,320,433
0,379,338
0,422,362
0,442,371
0,459,353
0,448,322
0,375,395
0,372,421
0,364,434
0,266,352
0,268,290
0,267,257
0,203,273
0,336,241
0,439,289
0,444,286
0,456,279
0,479,259
0,438,265
0,409,230
0,460,200
0,473,198
0,446,175
0,439,185
0,414,167
0,395,166
0,393,186
0,372,183
0,365,162
0,338,172
0,399,112
0,380,86
0,359,73
0,320,224
0,276,182
0,245,186
0,253,163
0,265,151
0,275,151
0,295,193
0,270,119
0,239,145
0,225,112
0,181,134
0,172,141
0,156,130
0,149,142
0,167,106
0,200,101
0,195,77
0,230,77
0,318,157
