Group,Y,X
0,34,182
0,102,240
0,110,247
0,53,213
0,52,232
0,49,283
0,84,270
0,123,139
0,168,120
0,160,122
0,164,63
0,108,181
0,125,184
0,115,297
0,127,291
0,119,302
0,139,291
0,137,320
0,87,355
0,32,331
0,142,380
0,178,416
0,229,443
0,279,450
0,295,422
0,341,467
0,462,335
0,488,341
0,479,277
0,502,259
0,501,228
0,474,186
0,458,170
0,452,154
0,447,140
0,425,141
0,397,69
0,385,53
0,367,83
0,367,90
0,364,153
0,385,132
0,366,168
0,358,174
0,418,183
0,416,199
0,388,219
0,402,246
0,447,274
0,400,317
0,415,326
0,420,346
0,380,356
0,376,278
0,352,288
0,362,321
0,341,323
0,348,246
0,351,220
0,344,197
0,328,181
0,345,72
0,339,55
0,301,57
0,288,65
0,299,72
0,247,23
0,214,58
0,239,92
0,261,95
0,316,94
0,314,112
0,285,143
0,236,141
0,244,142
0,207,132
0,187,138
0,175,150
0,208,169
0,217,174
0,194,252
0,214,235
0,176,276
0,184,277
0,152,279
0,160,303
0,228,181
0,234,190
0,262,202
0,295,184
0,311,187
0,331,207
0,311,214
0,282,234
0,282,242
0,304,258
0,301,279
0,312,292
0,249,307
0,241,306
0,224,333
0,207,255
0,206,262
0,200,285
0,230,280
0,259,269
0,266,345
0,198,335
