Group,Y,X
0,62,314
0,61,152
0,77,376
1,77,305
0,85,234
0,87,160
0,88,416
1,98,180
1,99,275
0,121,427
0,127,330
0,130,274
1,134,56
1,138,175
1,178,183
1,182,310
0,188,404
0,199,454
1,202,131
0,211,384
1,217,274
1,220,122
0,232,414
0,247,294
0,247,427
0,252,367
0,256,330
1,260,246
1,262,63
0,267,315
0,273,373
0,289,245
0,290,335
0,289,484
1,299,16
0,316,267
0,319,378
1,323,267
0,328,319
1,328,109
0,330,484
0,351,164
0,343,421
1,356,91
1,369,91
0,374,99
0,378,393
1,377,464
0,385,170
0,399,312
0,434,388
1,442,397
1,450,308
1,504,262
