Group,Y,X
0,58,268
0,63,116
0,77,399
0,80,167
0,83,269
0,93,186
1,121,362
0,142,356
0,165,28
0,172,433
0,173,264
0,181,332
0,180,139
0,184,357
1,190,246
0,195,393
0,199,245
1,198,130
0,220,443
1,232,141
0,248,12
0,249,339
0,254,372
0,257,352
0,270,345
1,283,304
1,280,105
0,287,354
1,291,161
0,297,73
1,306,230
0,310,44
0,323,448
1,323,116
1,329,403
0,330,78
0,333,174
1,333,376
0,334,202
0,342,255
0,356,323
0,369,352
0,381,195
0,384,302
0,389,155
0,395,455
0,397,78
1,406,261
0,438,227
0,445,365
0,454,280
0,468,327
