Group,Y,X
0,16,222
0,52,223
1,69,297
0,74,246
0,84,241
1,87,363
1,98,379
0,101,398
0,113,284
1,130,275
0,135,245
0,167,286
0,168,265
0,170,254
0,171,312
0,172,278
0,173,293
0,174,330
0,175,251
0,178,148
0,184,253
0,186,274
0,192,131
0,192,304
0,196,317
0,203,252
0,208,155
0,208,321
0,214,170
0,224,72
0,216,157
0,216,328
0,223,435
0,226,329
0,228,306
0,230,152
0,237,145
0,241,246
0,244,212
0,246,296
0,251,273
0,255,226
0,256,262
0,257,318
0,270,283
0,278,320
0,281,262
0,296,307
0,299,203
0,318,334
0,323,193
0,323,435
0,332,434
0,341,337
0,359,328
0,363,298
0,380,422
0,400,133
0,404,99
0,408,161
0,413,137
0,423,395
0,423,150
0,429,155
1,428,269
0,430,301
0,432,137
0,433,361
0,443,373
0,450,208
0,456,278
0,458,160
0,457,229
0,468,203
0,469,288
0,475,268
0,479,263
0,478,276
0,460,316
