Group,Y,X
0,17,241
1,22,357
0,28,297
0,67,319
0,82,295
0,89,219
0,92,168
0,98,199
0,134,157
0,137,194
0,140,261
0,164,273
0,168,68
0,167,450
0,178,144
0,182,312
0,185,393
0,197,168
0,196,357
0,222,64
0,233,259
0,244,352
0,254,419
0,257,331
0,262,119
0,267,150
0,284,286
0,286,77
0,286,401
0,288,240
0,291,214
0,294,316
0,298,149
0,303,421
0,315,334
0,330,106
0,335,33
0,336,173
0,337,390
0,339,46
0,345,216
0,345,449
0,352,49
1,353,225
0,361,368
0,366,329
0,373,286
0,385,309
0,386,54
0,389,187
0,397,424
0,411,384
0,419,301
0,422,263
0,423,274
0,425,163
0,432,239
0,432,304
0,436,282
0,440,400
0,442,347
0,475,346
