Group,Y,X
0,49,342
1,74,228
1,107,243
0,108,92
0,109,292
0,119,187
1,120,343
1,121,237
0,121,401
1,130,181
0,131,294
1,142,132
0,143,321
0,149,235
0,151,94
0,152,342
0,156,273
1,164,323
0,168,48
0,172,130
1,173,31
1,176,247
0,177,75
0,181,422
0,188,133
1,194,199
0,195,65
1,199,43
1,213,143
0,212,347
1,217,164
0,220,193
1,221,73
0,220,96
1,222,40
0,222,371
0,234,344
0,236,151
1,236,142
1,239,71
0,242,288
1,246,259
0,248,305
0,250,200
0,258,153
0,260,269
0,265,178
0,267,112
0,268,82
0,274,53
0,283,228
0,290,146
1,291,341
0,292,161
1,296,172
0,296,280
0,295,241
0,299,372
1,307,235
0,311,300
1,310,282
0,327,234
1,329,271
0,333,288
1,341,297
1,377,303
1,378,69
1,382,151
0,409,158
0,412,210
0,412,269
1,413,98
1,414,413
1,421,92
0,436,320
0,459,239
0,474,214
