Group,Y,X
0,45,133
0,54,175
0,65,213
0,60,226
0,39,253
0,44,261
0,25,257
0,31,211
0,26,166
0,67,104
0,72,170
0,42,210
0,39,235
0,57,271
0,77,276
0,80,232
0,88,236
0,87,286
0,109,256
0,114,224
0,95,171
0,98,163
0,91,155
0,88,111
0,95,84
0,105,68
0,126,70
0,152,42
0,138,47
0,145,55
0,157,50
0,130,82
0,123,100
0,110,112
0,121,129
0,121,140
0,139,119
0,138,141
0,143,182
0,135,184
0,129,193
0,125,222
0,136,232
0,59,302
0,49,309
0,48,318
0,48,330
0,63,320
0,65,338
0,30,301
0,75,364
0,85,380
0,104,399
0,97,405
0,112,428
0,92,425
0,118,444
0,125,426
0,131,434
0,138,421
0,157,436
0,130,406
0,128,388
0,138,387
0,159,453
0,176,424
0,179,436
0,187,428
0,191,445
0,184,457
0,196,461
0,168,473
0,179,476
0,189,491
0,212,452
0,219,479
0,238,485
0,243,475
0,235,465
0,252,468
0,263,461
0,270,468
0,280,482
0,291,487
0,295,477
0,295,468
0,274,453
0,257,453
0,238,453
0,238,446
0,242,438
0,230,428
0,218,438
0,210,433
0,191,414
0,177,406
0,159,393
0,139,366
0,148,353
0,120,345
0,123,303
0,136,283
0,156,291
0,163,303
0,180,349
0,207,360
0,229,375
0,232,362
0,237,409
0,249,429
0,242,405
0,261,412
0,259,393
0,244,385
0,240,375
0,243,367
0,251,364
0,260,351
0,271,354
0,277,363
0,304,392
0,331,401
0,351,413
0,356,432
0,363,415
0,387,408
0,395,397
0,401,385
0,424,420
0,438,402
0,423,384
0,415,382
0,414,364
0,379,365
0,353,350
0,361,340
0,315,366
0,327,326
0,314,344
0,250,319
0,223,329
0,214,342
0,219,322
0,215,320
0,220,303
0,232,295
0,218,289
0,191,295
0,226,273
0,209,267
0,191,261
0,189,274
0,180,240
0,170,239
0,169,208
0,161,194
0,150,91
0,160,86
0,157,92
0,164,102
0,167,119
0,186,95
0,179,63
0,187,54
0,199,54
0,203,60
0,215,72
0,201,92
0,213,125
0,209,158
0,191,173
0,204,192
0,219,182
0,231,162
0,234,171
0,229,228
0,255,219
0,269,202
0,286,190
0,281,259
0,276,274
0,287,290
0,298,298
0,309,292
0,318,292
0,325,286
0,326,262
0,311,252
0,313,246
0,309,231
0,312,216
0,323,220
0,333,221
0,338,232
0,354,232
0,344,251
0,345,260
0,365,300
0,379,313
0,389,328
0,392,311
0,400,316
0,383,291
0,379,271
0,421,309
0,443,330
0,443,340
0,451,335
0,461,331
0,455,314
0,471,310
0,481,321
0,464,371
0,462,383
0,445,375
0,480,372
0,484,238
0,475,253
0,482,271
0,450,247
0,417,251
0,430,259
0,428,264
0,430,272
0,443,266
0,453,266
0,443,202
0,495,218
0,492,203
0,448,172
0,424,158
0,430,157
0,436,186
0,390,180
0,408,181
0,408,189
0,413,224
0,357,205
0,333,181
0,325,176
0,315,167
0,275,114
0,271,132
0,259,129
0,301,76
0,310,76
0,318,108
0,344,107
0,374,119
0,359,70
0,376,49
0,396,71
0,381,104
0,399,112
0,414,109
0,418,75
0,400,104
0,414,91
0,422,107
0,427,115
0,433,128
0,440,125
0,413,133
0,384,166
0,374,163
0,235,72
0,244,89
0,259,83
0,255,93
0,263,60
0,263,44
0,276,26
0,287,32
0,261,22
0,255,30
0,235,16
0,66,383
