Group,Y,X
0,95,394
0,105,390
0,135,383
0,140,370
0,124,354
0,247,468
0,266,448
0,321,454
0,458,251
0,410,125
0,337,81
0,324,111
0,359,137
0,293,109
0,242,63
0,393,241
0,411,247
0,387,262
0,408,283
0,424,309
0,38,207
0,38,213
0,81,183
0,109,130
0,97,266
0,112,296
0,142,321
0,113,274
0,189,317
0,198,329
0,209,400
0,238,432
0,251,424
0,243,380
0,228,374
0,274,416
0,279,404
0,258,398
0,275,371
0,301,374
0,313,394
0,319,415
0,323,414
0,334,417
0,355,408
0,370,381
0,335,379
0,331,361
0,372,364
0,384,363
0,396,365
0,396,373
0,386,305
0,371,323
0,355,309
0,340,302
0,310,315
0,363,213
0,393,232
0,440,211
0,318,171
0,292,202
0,288,225
0,275,228
0,266,232
0,255,216
0,219,231
0,195,219
0,200,201
0,192,174
0,210,127
0,205,121
0,204,131
0,192,111
0,185,124
0,161,141
0,146,140
0,141,147
0,141,158
0,153,182
0,167,185
0,173,195
0,133,220
0,113,204
0,116,180
0,90,343
