Group,Y,X
0,22,257
0,37,266
0,33,296
0,51,294
0,39,326
0,55,348
0,40,357
0,68,379
0,82,431
0,78,364
0,70,335
0,90,299
0,116,395
0,111,406
0,146,366
0,150,395
0,136,413
0,133,455
0,177,473
0,186,473
0,191,478
0,188,460
0,195,456
0,190,438
0,201,436
0,203,438
0,201,474
0,216,493
0,222,469
0,212,493
0,275,498
0,283,494
0,271,477
0,262,471
0,255,446
0,259,439
0,258,415
0,284,438
0,275,447
0,283,453
0,293,457
0,320,482
0,323,470
0,363,473
0,374,473
0,318,437
0,362,419
0,413,439
0,420,441
0,427,400
0,456,374
0,389,399
0,366,398
0,334,382
0,323,389
0,310,387
0,296,396
0,277,386
0,313,375
0,305,339
0,300,315
0,386,363
0,392,353
0,380,325
0,359,311
0,369,276
0,339,255
0,318,254
0,289,257
0,243,254
0,224,229
0,180,243
0,241,199
0,274,188
0,320,113
0,366,127
0,392,125
0,403,139
0,419,158
0,394,189
0,403,193
0,400,200
0,417,225
0,409,198
0,421,199
0,430,200
0,330,28
0,391,60
0,465,333
0,471,344
0,484,334
0,473,304
0,487,307
0,479,295
0,476,273
0,483,263
0,503,275
0,479,233
0,475,209
0,431,176
0,462,162
0,493,207
