Group,Y,X
0,57,135
0,61,143
0,43,200
0,24,232
0,31,227
0,54,228
0,74,249
0,87,242
0,73,340
0,97,396
0,104,402
0,138,436
0,152,446
0,114,288
0,137,250
0,160,232
0,158,152
0,163,149
0,186,98
0,188,84
0,229,74
0,194,136
0,179,152
0,178,253
0,172,257
0,171,268
0,188,258
0,161,281
0,174,281
0,169,290
0,173,295
0,171,314
0,177,334
0,225,437
0,187,277
0,193,271
0,198,271
0,196,277
0,205,256
0,201,294
0,200,300
0,192,307
0,196,320
0,210,325
0,218,331
0,224,315
0,228,315
0,230,309
0,228,334
0,234,341
0,326,438
0,335,437
0,382,425
0,342,395
0,428,400
0,445,376
0,437,362
0,465,318
0,473,291
0,483,278
0,481,272
0,483,265
0,460,281
0,432,303
0,455,213
0,471,204
0,462,233
0,438,181
0,438,176
0,461,162
0,457,210
0,425,152
0,433,158
0,435,139
0,417,139
0,403,134
0,412,164
0,408,103
0,328,197
0,300,208
0,260,154
0,238,147
0,234,155
0,210,158
0,218,160
0,217,173
0,248,213
0,257,230
0,245,250
0,258,264
0,308,247
0,284,264
0,252,278
0,249,299
0,261,299
0,260,318
0,282,321
0,266,240
0,269,284
0,279,286
0,297,309
0,307,321
0,321,337
0,368,299
0,331,339
0,346,338
0,361,332
