Group,Y,X
0,30,275
0,51,330
0,83,341
0,96,337
0,101,348
0,91,354
0,99,356
0,102,381
0,82,289
0,89,293
0,97,294
0,105,281
0,96,228
0,101,200
0,50,154
0,70,128
0,134,118
0,126,171
0,137,170
0,122,214
0,125,322
0,124,336
0,150,317
0,171,312
0,180,312
0,180,321
0,180,417
0,198,401
0,210,409
0,221,436
0,232,429
0,246,441
0,270,468
0,281,497
0,312,428
0,254,382
0,212,343
0,211,305
0,223,305
0,182,288
0,191,290
0,184,250
0,167,130
0,141,46
0,159,37
0,169,56
0,182,68
0,195,83
0,232,74
0,268,77
0,280,84
0,292,91
0,319,133
0,397,130
0,372,158
0,361,158
0,372,168
0,364,180
0,354,185
0,376,191
0,423,202
0,417,209
0,465,186
0,488,229
0,481,244
0,473,253
0,454,238
0,412,228
0,334,220
0,262,148
0,262,183
0,190,179
0,204,189
0,202,200
0,269,308
0,318,255
0,311,260
0,368,251
0,412,307
0,447,291
0,453,300
0,463,298
0,493,301
0,456,340
0,358,297
0,348,303
0,334,299
0,328,314
0,377,318
0,352,352
0,377,357
0,409,386
0,291,330
0,305,353
