Group,Y,X
0,103,98
0,132,81
0,132,68
0,149,73
0,158,69
0,200,36
0,222,22
0,229,51
0,258,16
0,271,17
0,326,61
0,293,68
0,368,63
0,373,74
0,409,101
0,381,116
0,399,142
0,434,190
0,492,218
0,459,278
0,464,316
0,473,367
0,435,304
0,409,301
0,377,418
0,361,431
0,350,447
0,365,454
0,368,466
0,283,461
0,251,480
0,197,486
0,179,494
0,174,454
0,195,450
0,210,448
0,241,448
0,155,439
0,109,409
0,141,375
0,225,390
0,265,358
0,291,328
0,281,317
0,317,269
0,329,159
0,260,93
0,248,101
0,185,106
0,166,110
0,137,131
0,165,143
0,187,154
0,168,166
0,219,160
0,249,183
0,207,223
0,220,238
0,220,308
0,241,300
0,213,334
0,173,339
0,144,310
0,164,244
0,109,178
0,113,179
0,104,144
0,90,118
0,71,149
0,86,154
0,67,160
0,72,178
0,62,193
0,52,211
0,49,225
0,81,203
0,90,239
0,119,264
0,90,262
0,61,249
0,46,254
0,38,266
0,76,278
0,55,313
0,73,337
0,85,333
0,87,354
0,135,341
