Group,Y,X
0,32,300
0,69,321
0,118,446
0,170,452
0,317,484
0,349,453
0,401,428
0,444,401
0,413,388
0,445,353
0,435,305
0,421,303
0,441,286
0,435,243
0,355,51
0,334,109
0,288,81
0,227,64
0,169,71
0,94,172
0,101,202
0,93,222
0,86,297
0,143,264
0,168,276
0,185,313
0,198,360
0,188,397
0,258,421
0,247,356
0,258,336
0,341,394
0,320,338
0,298,318
0,373,332
0,390,312
0,376,289
0,349,219
0,341,177
0,304,152
0,296,217
0,291,244
0,288,289
0,236,264
0,140,198
0,138,161
0,181,147
0,201,172
0,265,123
0,271,154
