Group,Y,X
0,221,61
0,325,89
0,285,95
0,212,91
0,221,96
0,197,103
0,183,117
0,158,135
0,130,129
0,117,125
0,111,114
0,117,146
0,93,159
0,111,162
0,133,162
0,179,159
0,214,132
0,236,112
0,243,124
0,237,136
0,258,128
0,361,131
0,309,160
0,290,172
0,294,185
0,308,191
0,321,175
0,333,184
0,348,176
0,358,165
0,375,176
0,357,189
0,320,204
0,356,210
0,362,230
0,337,252
0,363,254
0,373,239
0,381,262
0,373,273
0,367,283
0,370,297
0,381,290
0,409,293
0,358,301
0,369,316
0,389,316
0,358,329
0,421,327
0,391,367
0,365,385
0,359,429
0,340,378
0,327,378
0,313,388
0,326,397
0,317,361
0,299,361
0,293,345
0,332,299
0,313,294
0,294,312
0,280,321
0,290,281
0,277,277
0,280,264
0,272,229
0,286,194
0,259,191
0,259,208
0,243,205
0,230,200
0,208,171
0,192,175
0,198,188
0,209,200
0,208,213
0,227,233
0,223,252
0,269,277
0,270,290
0,259,283
0,265,314
0,284,417
0,242,434
0,233,445
0,181,442
0,166,445
0,137,454
0,132,438
0,118,413
0,134,409
0,189,416
0,212,413
0,207,397
0,214,381
0,239,351
0,216,353
0,230,311
0,227,279
0,204,273
0,194,267
0,174,249
0,161,196
0,127,184
0,116,193
0,94,201
0,86,216
0,101,211
0,101,225
0,129,211
0,115,246
0,104,264
0,117,268
0,144,250
0,157,257
0,140,269
0,125,285
0,109,298
0,107,314
0,89,323
0,58,353
0,76,360
0,93,376
0,141,369
0,120,325
0,149,330
0,186,342
0,173,298
