Group,Y,X
0,200,17
0,229,25
0,240,9
0,269,29
0,289,17
0,344,24
0,353,34
0,340,68
0,327,77
0,295,77
0,278,47
0,242,46
0,233,43
0,224,33
0,207,41
0,171,34
0,169,66
0,208,53
0,133,69
0,120,105
0,111,116
0,69,101
0,58,129
0,40,160
0,31,169
0,76,135
0,94,136
0,99,152
0,114,134
0,149,123
0,164,88
0,177,98
0,200,81
0,223,70
0,192,101
0,198,113
0,229,93
0,235,113
0,240,122
0,216,135
0,261,125
0,295,100
0,319,103
0,347,107
0,363,91
0,381,93
0,392,81
0,380,124
0,383,155
0,372,160
0,338,153
0,332,168
0,444,173
0,454,195
0,466,205
0,472,232
0,501,257
0,500,294
0,494,312
0,481,339
0,476,252
0,472,266
0,475,287
0,476,302
0,467,313
0,458,318
0,432,321
0,414,328
0,396,332
0,372,329
0,353,332
0,416,287
0,448,270
0,413,274
0,424,229
0,408,221
0,396,185
0,384,180
0,380,219
0,399,249
0,384,247
0,388,265
0,369,278
0,358,267
0,338,269
0,356,200
0,365,230
0,331,188
0,320,185
0,300,175
0,283,183
0,306,204
0,324,230
0,301,250
0,311,264
0,321,273
0,334,302
0,335,328
0,316,309
0,420,362
0,450,369
0,453,385
0,424,397
0,432,421
0,410,430
0,400,408
0,374,397
0,372,362
0,365,409
0,352,430
0,375,437
0,386,445
0,327,416
0,298,419
0,279,422
0,273,445
0,254,473
0,238,456
0,244,160
0,248,185
0,230,202
0,245,206
0,259,223
0,276,277
0,272,305
0,289,324
0,305,356
0,268,371
0,260,359
0,247,349
0,253,326
0,235,368
0,220,390
0,220,410
0,216,428
0,198,437
0,200,450
0,175,456
0,173,440
0,154,434
0,166,417
0,200,405
0,154,406
0,140,398
0,147,387
0,113,389
0,136,375
0,115,372
0,116,359
0,98,359
0,89,352
0,74,337
0,155,353
0,164,349
0,208,358
0,220,357
0,212,341
0,192,314
0,206,309
0,215,296
0,231,297
0,228,281
0,222,272
0,200,238
0,191,205
0,172,137
0,168,172
0,132,159
0,127,144
0,78,159
0,61,173
0,66,183
0,119,167
0,122,187
0,132,201
0,156,225
0,163,289
0,187,283
0,134,250
0,105,229
0,95,204
0,76,196
0,53,201
0,48,213
0,32,211
0,49,225
0,59,218
0,66,209
0,50,237
0,43,249
0,62,248
0,81,249
0,100,248
0,93,289
0,92,316
