Group,Y,X
0,164,150
0,182,151
0,196,135
0,215,160
0,217,174
0,238,151
0,260,153
0,302,206
0,327,196
0,403,136
0,418,141
0,429,155
0,412,162
0,439,178
0,454,211
0,461,233
0,500,232
0,481,267
0,482,280
0,474,291
0,460,281
0,435,305
0,464,318
0,436,363
0,446,376
0,427,397
0,384,425
0,332,436
0,344,340
0,342,395
0,332,339
0,362,330
0,367,300
0,311,247
0,248,213
0,259,229
0,244,249
0,283,264
0,260,264
0,255,275
0,273,285
0,299,309
0,308,322
0,260,299
0,260,319
0,249,299
0,232,313
0,232,331
0,227,437
0,218,331
0,211,323
0,199,321
0,195,307
0,201,299
0,207,256
0,195,274
0,188,256
0,176,255
0,162,229
0,172,268
0,175,280
0,176,295
0,174,312
0,178,332
0,151,451
0,143,429
0,134,427
0,131,417
0,100,383
0,95,402
0,87,411
0,80,392
0,76,337
0,116,286
0,137,246
0,161,279
0,80,247
0,55,225
0,22,245
0,23,218
0,35,178
