Group,Y,X
0,53,212
0,68,165
0,99,182
0,117,135
0,139,136
0,149,117
0,199,115
0,218,86
0,254,67
0,270,24
0,312,49
0,249,151
0,306,158
0,310,124
0,405,113
0,336,189
0,362,201
0,387,171
0,393,223
0,402,259
0,270,202
0,305,220
0,270,225
0,256,210
0,236,216
0,187,145
0,206,167
0,150,168
0,138,179
0,84,244
0,146,237
0,152,263
0,164,267
0,177,252
0,200,248
0,210,241
0,202,263
0,230,262
0,254,256
0,255,236
0,298,268
0,298,247
0,348,283
0,410,399
0,363,455
0,345,477
0,294,488
0,100,439
0,29,315
0,95,339
0,108,308
0,125,285
0,156,286
0,115,324
0,119,348
0,136,355
0,126,382
0,199,383
0,241,429
0,253,431
0,335,410
0,359,400
0,375,370
0,333,341
0,294,340
0,286,320
0,298,376
0,267,393
0,261,352
0,226,366
0,222,307
0,218,290
0,242,288
