Group,Y,X
0,171,25
0,182,43
0,196,54
0,204,64
0,235,48
0,250,33
0,260,20
0,272,18
0,278,24
0,286,32
0,345,39
0,380,47
0,415,76
0,414,91
0,399,108
0,415,112
0,432,127
0,424,159
0,381,103
0,372,122
0,303,76
0,268,60
0,253,82
0,238,71
0,215,72
0,245,89
0,246,104
0,260,93
0,260,130
0,273,132
0,280,112
0,323,109
0,343,106
0,372,163
0,384,166
0,392,180
0,408,188
0,436,184
0,443,203
0,469,193
0,482,238
0,476,255
0,449,245
0,446,266
0,428,263
0,416,251
0,452,312
0,467,312
0,480,324
0,445,342
0,440,330
0,441,330
0,463,369
0,457,382
0,476,371
0,441,375
0,415,380
0,413,361
0,418,308
0,398,312
0,378,312
0,365,298
0,380,289
0,379,267
0,357,202
0,335,182
0,324,176
0,216,127
0,198,113
0,204,93
0,188,96
0,179,65
0,177,68
0,177,81
0,170,85
0,160,91
0,153,46
0,138,44
0,143,55
0,128,69
0,96,82
0,129,91
0,120,96
0,112,112
0,122,108
0,165,102
0,167,120
0,137,118
0,69,104
0,48,133
0,30,165
0,75,148
0,92,155
0,124,132
0,125,141
0,143,140
0,166,138
0,155,149
0,124,176
0,94,171
0,72,171
0,68,179
0,60,189
0,53,175
0,41,196
0,36,213
0,64,215
0,65,216
0,64,226
0,49,228
0,52,235
0,46,258
0,51,272
0,59,303
0,76,276
0,91,246
0,83,235
0,114,224
0,130,220
0,128,193
0,137,184
0,164,196
0,171,206
0,208,155
0,235,168
0,220,182
0,206,192
0,287,188
0,270,197
0,256,217
0,225,226
0,181,238
0,172,239
0,137,236
0,109,258
0,140,282
0,127,300
0,123,342
0,66,337
0,80,365
0,85,377
0,103,400
0,132,405
0,130,389
0,138,365
0,148,355
0,158,291
0,166,305
0,188,298
0,192,276
0,191,264
0,208,267
0,226,274
0,220,288
0,221,306
0,220,323
0,224,333
0,214,343
0,183,352
0,134,426
0,128,432
0,155,438
0,182,430
0,177,406
0,193,414
0,189,445
0,184,455
0,199,462
0,212,469
0,220,436
0,240,447
0,253,454
0,273,450
0,249,430
0,238,412
0,247,404
0,263,413
0,208,360
0,230,373
0,244,379
0,260,393
0,253,368
0,260,354
0,252,318
0,273,352
0,278,364
0,301,393
0,330,401
0,353,412
0,359,428
0,387,407
0,396,398
0,400,387
0,384,365
0,314,368
0,315,342
0,325,328
0,344,340
0,349,349
0,360,341
0,387,328
0,280,261
0,277,273
0,287,289
0,298,298
0,308,294
0,324,283
0,325,265
0,309,254
0,312,241
0,310,220
0,324,220
0,337,223
0,353,232
0,340,251
0,344,262
