Group,Y,X
0,159,51
0,163,136
0,199,130
0,203,142
0,212,84
0,224,90
0,243,50
0,260,78
0,296,42
0,283,112
0,251,116
0,228,192
0,261,203
0,262,179
0,326,166
0,396,173
0,404,106
0,423,119
0,453,159
0,381,242
0,405,273
0,493,320
0,466,333
0,467,383
0,433,380
0,424,326
0,367,329
0,359,302
0,308,250
0,271,245
0,259,294
0,294,317
0,314,358
0,388,397
0,354,466
0,327,468
0,277,478
0,286,434
0,323,427
0,277,409
0,265,364
0,187,468
0,155,448
0,148,439
0,162,386
0,212,287
0,146,289
0,153,178
0,54,186
0,111,217
0,129,242
0,105,264
0,91,278
0,48,274
0,92,372
