Group,Y,X
0,37,184
0,53,213
0,51,231
0,50,280
0,81,268
0,109,244
0,108,181
0,125,185
0,126,139
0,163,120
0,164,59
0,213,57
0,176,148
0,188,140
0,211,132
0,239,140
0,241,91
0,263,97
0,285,64
0,297,72
0,305,58
0,313,92
0,314,112
0,344,71
0,340,56
0,368,89
0,396,69
0,425,140
0,445,140
0,461,169
0,416,184
0,416,200
0,387,219
0,363,153
0,365,169
0,285,143
0,211,168
0,221,175
0,237,188
0,263,203
0,293,184
0,313,187
0,335,207
0,343,199
0,353,220
0,283,238
0,305,256
0,350,246
0,402,247
0,444,273
0,479,279
0,483,337
0,460,335
0,363,472
0,341,470
0,379,356
0,416,344
0,415,326
0,398,316
0,374,279
0,361,320
0,339,322
0,317,291
0,301,280
0,262,271
0,246,305
0,225,329
0,269,344
0,296,423
0,279,452
0,177,415
0,141,380
0,89,353
0,117,300
0,139,318
0,127,290
0,139,293
0,161,301
0,200,335
0,154,277
0,183,279
0,204,286
0,228,280
0,207,260
0,196,252
0,216,235
