Group,Y,X
0,78,246
0,91,228
0,117,213
0,92,247
0,94,269
0,114,250
0,194,97
0,239,83
0,189,131
0,224,148
0,211,167
0,198,200
0,169,225
0,160,241
0,179,240
0,193,233
0,212,241
0,241,193
0,254,184
0,257,161
0,264,146
0,274,159
0,272,114
0,286,95
0,297,77
0,303,85
0,307,102
0,315,89
0,326,116
0,340,126
0,344,113
0,360,110
0,369,160
0,367,185
0,360,205
0,303,153
0,312,157
0,305,212
0,320,217
0,329,209
0,272,205
0,303,223
0,300,236
0,281,235
0,238,240
0,196,266
0,229,264
0,220,277
0,201,305
0,228,293
0,245,321
0,281,315
0,283,302
0,296,276
0,326,274
0,330,253
0,335,225
0,353,236
0,330,286
0,320,295
0,348,302
0,357,273
0,379,291
0,395,285
0,450,292
0,401,309
0,356,340
0,336,336
0,324,347
0,313,382
0,346,390
0,359,387
0,355,409
0,364,448
0,347,473
0,334,477
0,315,462
0,299,467
0,260,484
0,214,497
0,216,474
0,196,372
0,240,363
0,265,357
