Group,Y,X
0,65,120
0,92,136
0,104,126
0,155,90
0,171,69
0,204,31
0,211,52
0,226,46
0,230,34
0,251,14
0,301,74
0,316,46
0,334,81
0,282,108
0,201,119
0,184,142
0,105,150
0,76,161
0,84,171
0,71,182
0,96,188
0,61,271
0,86,271
0,177,266
0,203,249
0,338,177
0,395,156
0,385,199
0,337,206
0,410,264
0,442,229
0,469,202
0,347,256
0,389,306
0,458,284
0,451,317
0,472,332
0,450,366
0,419,358
0,375,354
0,360,324
0,337,380
0,367,431
0,385,456
0,328,452
0,301,416
0,291,358
0,277,349
0,260,353
0,253,342
0,260,374
0,258,394
0,225,448
0,175,435
0,199,397
0,188,361
0,185,336
0,171,316
0,146,359
0,94,344
