Group,Y,X
0,28,229
0,74,146
0,85,206
0,112,190
0,133,141
0,166,134
0,190,113
0,236,22
0,319,71
0,365,177
0,412,173
0,344,194
0,292,181
0,257,214
0,219,196
0,188,194
0,150,225
0,176,240
0,125,274
0,86,297
0,60,299
0,68,403
0,110,389
0,116,404
0,137,420
0,173,484
0,193,470
0,189,397
0,147,300
0,173,317
0,195,337
0,208,363
0,226,415
0,237,387
0,257,401
0,272,401
0,360,480
0,363,430
0,232,263
0,244,283
0,265,357
0,305,325
0,300,253
0,328,230
0,320,335
0,345,374
0,363,380
0,373,386
0,427,397
0,454,341
0,488,324
0,498,309
