Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,405,352,1,0,3,30,4,34,57,162.8,140.233,109.833,10.7584,11.1511,11.6555, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,404,346.5,1,0,3,40,4,36,51,157.925,137.5,110.125,13.4165,11.2689,10.4557, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,475,325.5,1,0,2,17,3,42,38,60.5294,55.8235,45.1765,20.1376,20.4217,20.2789, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,86.5,303.5,1,0,3,19,3,34,37,149.211,133,113.211,11.986,11.9545,12.2324, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,234,297.5,1,0,2,15,3,34,31,141,127.667,109.733,7.79215,8.28164,8.0282, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,242.5,211.5,1,0,2,19,3,32,27,138.684,126,112.263,14.3773,14.2188,13.6401, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,237.5,210,1,0,2,23,3,34,29,137.609,125.609,109.565,13.4612,13.0713,12.5451, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,199.5,194,1,0,2,23,3,36,32,149.217,136.826,118.739,10.8553,10.225,10.8741, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,244,89.5,1,0,2,35,4,30,45,167.629,149.171,131.029,11.9859,10.7935,11.484, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,249,87,1,0,2,26,3,30,47,169.962,151.077,131.808,16.0345,14.097,11.9017, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,288,444,1,0,1,76,6,34,53,161.763,139.908,112.645,13.9329,10.1121,8.42454, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,305.5,395.5,1,0,1,36,4,32,50,157.111,135.472,109.194,14.6946,11.7638,10.6604, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,352.25,394.25,1,0,1,39,4,30,63,171.231,144.205,115.923,8.68102,7.35763,6.80179, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,280,390,1,0,1,51,5,32,43,148.51,129.235,105.902,16.7285,13.7596,12.6135, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,116.5,375.5,1,0,1,21,3,26,27,137.762,123.048,112.286,5.34144,5.15734,4.98978, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,287.5,374,1,0,1,16,3,36,47,153.313,135.438,107.438,5.49609,4.84006,4.40897, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,158,364,1,0,1,47,5,34,43,149.723,130.872,106.915,15.5173,13.5895,11.5262, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,109.2,356.6,1,0,1,31,3,30,44,158.129,137.903,118.258,11.5792,10.2609,8.6705, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,202,354,1,0,1,30,4,34,39,147.367,130.367,107.7,14.5683,12.669,11.7955, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,269.5,352,1,0,1,24,3,32,38,149,131.958,111.5,11.5277,11.6516,10.2916, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,337.5,349,1,0,1,29,4,32,43,149.034,129.172,106.345,15.4878,14.6105,13.1066, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,231.5,348.5,1,0,1,29,3,36,38,143.207,128.345,106.207,10.7038,10.1134,9.40106, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,113,343,1,0,1,39,4,30,36,148.769,132.41,113.513,15.0447,13.5957,12.4732, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,300,340.5,1,0,1,17,3,38,38,148.353,134.941,110.765,6.76951,6.86586,6.93622, "2016-06-12 [上午4:17:45]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\6_123.png", 1,413,341,1,0,1,46,5,34,54,160.739,138.543,109.609,11.7003,10.6745,8.72764, "2016-06-12 [上午4:17:45]: no comment"
