Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,304.5,463.5,1,0,2,20,3,50,72,211.8,206.3,177.9,36.018,35.1308,31.9627, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,309,461.5,1,0,2,22,4,52,78,215.182,209.636,179.636,30.3035,29.9867,27.1821, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,263.5,444,1,0,2,26,3,48,70,217.808,211.885,189.654,23.6087,23.5258,22.4941, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,262.5,438.5,1,0,2,41,4,52,46,209.415,206.098,188.634,36.7648,37.0892,35.3999, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,379,414.5,1,0,2,28,3,62,104,235.107,235.5,209.607,23.3004,23.6519,27.6329, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,311.5,394,1,0,2,48,4,50,67,209.042,203.229,176.104,38.5277,37.6999,34.8164, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,310.5,388,1,0,2,27,3,48,46,193.333,188.296,166.333,34.834,33.1844,30.6511, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,74.1081,304.649,1,0,2,55,5,90,28,210.364,215.382,204.636,19.7727,20.2141,22.9308, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,72.5,296.5,1,0,2,93,6,82,28,207.14,211.022,199.946,18.6675,19.2586,21.9086, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,433,215.5,1,0,2,35,4,110,64,240.971,246.457,239.886,13.6705,12.9268,15.4791, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,429.75,206.25,1,0,2,22,3,104,60,235.682,241.864,234.136,17.3273,16.2085,18.3265, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,425,185,1,0,4,29,4,132,98,246.034,250.793,247.31,9.75523,9.09163,10.4069, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,425.2,179.4,1,0,4,41,4,140,48,236.268,241.829,237.854,13.2136,12.4804,13.6116, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,421.059,172.235,1,0,4,80,6,130,77,242.25,247.688,243.1,13.1166,12.4767,14.5514, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,257,42,1,0,2,25,4,76,49,235.84,238.12,229.92,19.4058,18.9228,19.1657, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,251,41,1,0,2,30,4,86,51,237.967,240.633,233.5,17.772,17.4408,17.5866, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,369.75,472.75,1,0,1,18,3,60,125,242.111,242.333,217.389,10.9325,10.6379,10.719, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,309.5,449,1,0,1,38,4,52,67,206.658,202.711,173.263,34.5648,34.5566,32.9866, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,330.5,445,1,0,1,24,3,56,53,218.792,217.833,200.417,29.4018,29.375,30.1218, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,243,444,1,0,1,21,3,42,43,179.286,170.19,148.238,26.8146,26.2391,25.2878, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,339,439.5,1,0,1,35,4,54,58,211.2,207.6,184.943,27.5683,27.1973,25.8101, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,200.5,439,1,0,1,37,4,50,115,240.541,237.351,217.541,15.1394,16.8476,17.8853, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,327,437,1,0,1,33,3,60,47,195.758,195.697,169.242,33.0313,32.4445,30.8146, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,123,429,1,0,1,28,3,60,99,237.464,237.036,214.429,15.6689,15.9726,16.1101, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,156.5,418,1,0,1,23,3,54,113,235.261,231.957,202.87,17.3766,18.1806,16.1005, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,304.5,413,1,0,1,43,4,56,40,207.442,206.419,188.86,44.5998,44.9525,43.7326, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,107.5,410,1,0,1,22,3,60,71,227.773,227.909,207,20.428,20.0643,20.2472, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,357.75,408.75,1,0,1,37,3,60,41,202.838,202.892,182.568,32.7809,32.1325,31.0599, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,382.2,395.6,1,0,1,26,3,56,79,223.615,221.846,195.538,28.3483,28.439,25.456, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,394,391,1,0,1,50,5,90,35,225.64,229.72,221.78,27.1899,27.1702,28.5444, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,175,387,1,0,1,50,5,54,103,237.52,235.84,214.54,21.807,21.9927,21.7299, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,325.5,383,1,0,1,35,4,50,48,194.257,189.2,165.829,36.0292,35.1809,32.0506, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,363,377,1,0,1,39,4,70,28,201.103,203.256,189.846,35.7421,35.4984,35.4246, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,44,375,1,0,1,20,3,54,148,242.8,240.2,210.35,8.90316,9.12158,8.77994, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,310.5,374.5,1,0,1,56,4,50,54,202.625,198.071,175.196,39.6378,40.1827,37.7328, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,118.5,368,1,0,1,44,4,54,96,232.045,228.864,204.045,22.3733,22.294,20.9453, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,413,361,1,0,1,21,3,70,54,217,220.476,201.238,22.5892,22.5221,21.3982, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,296,362,1,0,1,41,4,48,64,202.78,195.732,168.195,34.431,33.7176,31.6262, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,425,354,1,0,1,28,4,78,67,237.536,240.821,230.536,18.9473,17.8799,18.8455, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,336.5,355,1,0,1,45,4,48,72,213.756,207.822,182.089,37.4711,36.9922,32.8795, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,408,349,1,0,1,42,4,82,36,218.214,222.048,211.167,27.8377,27.7412,28.6594, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,258,342,1,0,1,43,4,68,33,202.419,203.628,189,32.7455,32.6037,32.6353, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,248,336.5,1,0,1,36,4,66,45,201.833,203.944,182.472,25.3989,25.3196,24.1714, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,218.5,333,1,0,1,38,4,68,70,232.395,233.974,217.842,19.6837,18.9963,20.915, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,396.5,324.5,1,0,1,28,3,62,62,221.286,222.321,201.036,23.8658,23.8818,23.3167, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,261.5,320.5,1,0,1,20,3,56,45,211.15,210.45,191.85,24.0049,23.3595,22.583, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,217,321,1,0,1,21,3,58,66,222,220.571,199.286,16.3002,15.9939,15.2767, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,325.5,321.5,1,0,1,57,4,54,50,208.368,205.982,185.263,38.7195,38.6151,36.685, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,171.5,320.5,1,0,1,40,4,68,43,218.275,220.2,206.1,21.7002,21.6751,22.3715, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,106,316.5,1,0,1,16,3,60,53,210.813,210.563,188.188,12.1311,11.7003,12.0692, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,162,313.5,1,0,1,16,3,56,71,229,228.313,208.563,13.6392,13.4986,13.3641, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,290.5,312,1,0,1,25,3,68,28,193.4,194.84,179.76,33.7744,33.6811,33.5973, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,338.5,310.5,1,0,1,20,3,70,29,182.4,184.55,166.6,22.5439,22.3623,20.8882, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,365.5,310,1,0,1,46,4,76,43,222.13,224.739,212.674,33.1157,32.3129,32.5078, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,216,307,1,0,1,21,3,70,62,224.048,226.857,209.476,20.4189,20.3102,20.721, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,390,298,1,0,1,30,4,70,85,240.567,242.867,231.167,20.8539,19.7772,20.2113, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,295,294.5,1,0,1,34,4,64,27,194.824,195.824,181.647,35.4558,34.4404,34.2335, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,286,283,1,0,1,29,4,58,51,212.586,211.69,192,31.8417,30.0601,28.0313, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,108.5,274.5,1,0,1,20,3,64,44,208.65,209.65,190.6,19.2846,19.4534,19.0344, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,21,274,1,0,1,15,3,68,54,221.333,222.933,206,15.2439,14.8971,15.4083, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,362.5,274,1,0,1,33,4,64,43,203.576,204.515,184.848,32.1818,31.834,30.0591, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,271,274.5,1,0,1,41,4,60,47,201.902,202,178.415,34.491,33.2331,31.4695, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,446.5,268.5,1,0,1,19,3,92,76,236.474,242.105,230.632,17.0472,16.3276,17.6202, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,128,269,1,0,1,27,4,60,57,221.963,221.815,203.333,18.7503,18.6111,18.2305, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,350.5,269,1,0,1,36,4,70,40,217.667,219.889,207.333,27.4649,27.0776,26.7757, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,409.2,257.6,1,0,1,26,3,78,63,231.154,234.962,221.577,23.3292,22.2268,22.6869, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,389.5,257.5,1,0,1,28,3,76,42,212.964,217.286,202.393,26.78,25.8321,24.6799, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,349.5,256,1,0,1,22,3,70,30,204.636,207.045,194.364,29.4821,28.8527,28.0329, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,126.5,256,1,0,1,65,5,78,35,221.031,224.369,213.6,21.0722,21.0573,22.9389, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,91.5,254,1,0,1,20,3,60,44,212.4,211.65,193.7,16.1043,15.9441,15.6564, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,362.5,249.5,1,0,1,18,3,74,44,210.111,213.5,196.722,18.66,18.4714,17.244, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,215,251.5,1,0,1,58,5,82,42,222.603,226.793,216.345,21.9967,21.2925,23.6095, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,450,250,1,0,1,61,5,112,66,239.475,245.475,237.656,13.9711,12.9447,15.4765, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,465,249.5,1,0,1,55,4,98,255,249.673,254.636,247.236,2.85917,2.16562,4.24717, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,315,247.5,1,0,1,33,4,70,38,201,203.727,185.758,32.242,31.716,30.2824, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,400.5,242,1,0,1,35,4,112,32,220.257,226.6,218.543,24.5898,24.0951,25.0527, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,435.5,241,1,0,1,37,4,112,51,235.108,241.324,233.811,16.8775,15.8689,18.3623, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,372.75,240.25,1,0,1,18,3,70,60,220.833,223.944,205.333,18.6612,18.2771,17.8951, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,469,236.5,1,0,1,17,3,132,182,249.118,254.235,249.882,3.86731,2.95627,5.48373, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,67.5,234.5,1,0,1,32,3,66,46,212.375,213.594,196.063,22.2437,22.1688,21.8281, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,445.5,233.5,1,0,1,98,7,110,64,240.633,246.388,239.663,13.8622,12.6344,15.6768, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,356.5,228,1,0,1,24,3,70,60,220.667,223.667,204.667,23.7992,22.6827,21.9278, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,289,226,1,0,1,21,3,70,44,223.714,226.333,213.762,18.5259,17.3426,17.6559, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,427,224,1,0,1,69,5,112,42,231.145,236.739,230.246,20.5168,19.6467,21.4829, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,303.25,217.75,1,0,1,19,3,64,58,224.737,225.895,209.474,20.0286,19.8258,19.5057, "2016-06-12 [上午4:27:29]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\8_327.png", 1,284,215.5,1,0,1,33,4,64,66,228.182,228.697,211.152,22.0763,21.4621,20.982, "2016-06-12 [上午4:27:29]: no comment"
