Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Desktop\IMAG2888.png", 1,232.5,363,1,0,3,47,4,320,40,33.1064,23.617,30.2553,22.0321,20.1706,15.8072, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,240,359,1,0,3,45,5,270,46,38.8222,32.2889,45.5778,13.7598,12.0788,12.5729, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,245.5,354.5,1,0,3,41,4,236,38,36.9512,38.0488,50.2439,15.5635,16.1399,16.4063, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,332,161.5,1,0,5,89,6,234,42,28.427,28.9101,38.764,18.4909,20.2649,22.4858, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,347.1,160.7,1,0,5,61,5,236,56,23.082,24.1803,36.2295,11.3722,12.3014,12.4811, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,354,153,1,0,5,52,5,216,71,26.1346,33.9231,46.1346,15.4781,17.049,16.4485, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,367.5,414.5,1,0,1,135,7,64,48,227.844,229.207,216.57,14.5493,12.8015,10.1502, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,230,355,1,0,1,18,3,48,162,230.722,215.333,146.667,5.16074,3.98142,9.43274, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,285,308.5,1,0,1,86,6,56,41,217.558,217.151,203.826,20.952,20.4581,16.5026, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,318,285.5,1,0,1,74,5,34,61,225.311,217.203,205.905,16.1237,16.5102,14.4608, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,283.5,281.5,1,0,1,79,5,36,62,223.949,216.405,203.861,18.2193,17.9149,15.526, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,313.5,252.5,1,0,1,87,5,50,50,219.908,216.828,202.609,18.4913,17.4933,14.6452, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,172.5,213.5,1,0,1,72,5,48,69,217.014,211.403,189.125,7.54576,7.03384,8.37288, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,85,198.5,1,0,1,120,7,48,71,223.6,218.783,200.342,14.0425,12.7446,10.812, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,209,176,1,0,1,97,6,46,70,218.722,213.196,191.691,21.2992,19.8426,16.1864, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,268,175,1,0,1,309,10,50,196,231.437,202.88,73.0777,19.1529,14.4399,22.816, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,226,163,1,0,1,79,6,60,31,211.734,211.873,200.329,24.7197,23.8724,19.6356, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,254,159.5,1,0,1,83,6,50,59,217.373,212.542,193.976,17.6275,15.9958,13.1932, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,251,145.5,1,0,1,91,6,60,36,203.154,203.055,186.253,22.4987,21.3672,16.4796, "2016-06-26 [下午 09:34:43]: no comment"
"Z:\Desktop\IMAG2888.png", 1,273.25,93.25,1,0,1,36,4,210,143,7.08333,15.5,24.9167,9.89249,10.314,10.1085, "2016-06-26 [下午 09:34:43]: no comment"
