Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,373,403.5,1,0,1,43,5,42,248,145.349,103.721,1.81395,15.1617,4.02182,3.10488, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,413,364.5,1,0,1,89,6,44,248,144.719,107.663,1.53933,15.3879,3.78416,2.68307, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,383.5,352,1,0,1,102,6,46,248,143.373,109.52,1.78431,20.5458,7.05324,3.37894, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,225,346.5,1,0,1,55,5,44,245,156.164,114.927,2.98182,22.0547,7.41548,4.65061, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,304,324,1,0,1,51,5,44,242,155.451,114.255,4.15686,24.2474,8.59474,5.03112, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,336.5,285.5,1,0,1,92,6,46,249,156.511,120.304,2.01087,19.3347,6.44286,3.4869, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,281.25,279.25,1,0,1,106,6,46,249,155.745,120.943,2.17925,23.1053,8.73845,3.86092, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,282,204,1,0,1,97,6,46,245,157.825,122.155,2.92784,23.3404,8.25293,5.00579, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,436,198,1,0,1,96,5,44,248,149.854,112.271,2.0625,19.4119,4.60982,3.68798, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,113,169.5,1,0,1,61,4,44,242,154.82,115.295,3.90164,22.0429,6.04844,4.43418, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,361.1,163.8,1,0,1,28,3,44,243,161.357,119.964,3.57143,19.237,5.65589,4.33197, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,382.706,145.824,1,0,1,94,6,44,249,155.117,116.149,1.92553,20.9834,5.41216,3.31663, "2016-06-26 [下午 09:43:27]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1006.png", 1,253,50,1,0,1,101,6,42,246,161.941,116.337,2.92079,16.6381,2.84164,4.51428, "2016-06-26 [下午 09:43:27]: no comment"
