Group,Y,X
0,66,137
0,134,64
0,97,153
0,111,157
0,123,178
0,110,258
0,140,278
0,95,262
0,81,251
0,81,261
0,56,282
0,45,232
0,24,238
0,90,362
0,53,377
0,73,396
0,99,417
0,173,482
0,201,486
0,215,493
0,198,446
0,231,446
0,243,471
0,267,449
0,297,448
0,293,474
0,353,454
0,369,453
0,332,423
0,306,391
0,404,434
0,400,443
0,395,422
0,406,409
0,407,396
0,441,377
0,391,360
0,391,316
0,414,313
0,463,309
0,490,300
0,489,290
0,489,261
0,481,239
0,472,256
0,420,263
0,409,224
0,393,240
0,372,225
0,453,220
0,471,181
0,437,118
0,419,97
0,382,72
0,336,35
0,309,35
0,277,26
0,216,34
0,216,45
0,197,53
0,298,53
0,356,78
0,342,91
0,380,98
0,373,118
0,368,122
0,348,136
0,368,162
0,389,161
0,400,161
0,395,186
0,313,183
0,310,196
0,217,220
0,269,249
0,296,245
0,292,272
0,305,284
0,319,296
0,290,312
0,310,327
