Group,Y,X
0,13,262
0,39,364
0,161,385
0,75,376
0,89,370
0,274,503
0,327,487
0,354,466
0,378,440
0,387,398
0,321,428
0,283,435
0,275,409
0,263,364
0,313,357
0,285,396
0,369,416
0,450,403
0,351,382
0,366,373
0,471,367
0,485,348
0,501,299
0,501,249
0,467,146
0,452,164
0,425,121
0,402,107
0,400,171
0,358,305
0,292,315
0,260,294
0,212,290
0,156,304
0,264,207
0,308,251
0,325,167
0,277,113
0,298,42
0,261,80
0,240,49
0,230,191
0,203,146
0,196,129
0,212,85
0,222,92
0,247,117
0,264,154
0,272,247
0,109,219
0,163,139
0,151,179
0,160,53
0,128,242
0,104,263
0,52,189
0,88,279
