Group,Y,X
0,47,215
0,14,265
0,96,306
0,100,318
0,96,242
0,138,126
0,214,49
0,244,25
0,220,99
0,187,138
0,198,167
0,202,202
0,213,212
0,136,204
0,164,213
0,171,220
0,168,235
0,184,241
0,119,254
0,133,266
0,133,275
0,143,273
0,151,306
0,168,286
0,187,295
0,175,363
0,159,375
0,128,453
0,190,452
0,176,478
0,201,486
0,209,477
0,217,499
0,238,466
0,249,466
0,247,489
0,290,457
0,299,460
0,335,472
0,356,409
0,358,416
0,370,422
0,370,428
0,372,443
0,362,452
0,378,454
0,254,415
0,264,421
0,245,404
0,249,399
0,249,389
0,254,358
0,343,360
0,352,364
0,368,359
0,390,364
0,438,320
0,431,298
0,424,246
0,418,256
0,433,272
0,407,207
0,394,179
0,410,157
0,372,80
0,278,96
0,268,153
0,300,152
0,337,157
0,295,213
0,329,223
0,349,241
0,257,259
0,207,285
0,238,309
0,255,317
