Group,Y,X
0,319,472
0,269,463
0,261,470
0,310,370
0,324,362
0,338,365
0,375,409
0,437,336
0,427,281
0,428,287
0,481,309
0,472,268
0,392,198
0,394,170
0,397,153
0,398,142
0,404,112
0,438,104
0,386,56
0,357,45
0,360,67
0,364,124
0,356,130
0,324,123
0,310,91
0,355,197
0,351,241
0,338,227
0,342,250
0,334,265
0,322,249
0,298,263
0,288,274
0,283,293
0,270,301
0,261,286
0,235,293
0,270,353
0,244,352
0,246,380
0,208,346
0,198,370
0,169,428
0,133,417
0,138,393
0,127,390
0,110,367
0,136,349
0,201,304
0,191,290
0,188,275
0,167,291
0,155,300
0,157,284
0,157,277
0,122,309
0,112,296
0,78,330
0,61,354
0,61,348
0,94,289
0,95,282
0,135,250
0,137,236
0,124,236
0,128,229
0,201,257
0,228,248
0,280,232
0,275,218
0,286,215
0,305,210
0,330,191
0,301,182
0,302,175
0,309,152
0,290,169
0,280,167
0,291,158
0,293,145
0,286,127
0,284,108
0,267,104
0,271,208
0,259,215
0,251,200
0,201,219
0,172,225
0,197,204
0,155,208
0,145,186
0,187,170
0,209,171
0,230,158
0,210,137
0,231,132
0,202,122
0,214,114
0,223,103
0,238,105
0,241,97
0,245,93
0,233,92
0,215,89
0,222,67
0,243,61
0,223,43
0,262,40
0,202,82
0,181,117
0,168,75
0,136,126
0,122,140
0,122,134
0,103,132
0,90,145
0,83,166
0,91,170
0,68,181
0,64,197
0,46,205
0,53,233
0,61,248
0,61,248
0,64,168
0,64,154
0,61,144
0,46,151
0,71,109
0,125,107
0,113,109
0,105,110
0,98,92
0,110,77
0,123,73
0,135,76
0,133,91
0,283,22
0,201,30
0,125,57
0,148,54
0,168,41
0,166,61
0,177,55
0,180,46
0,171,62
0,26,184
0,26,202
0,20,212
