Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,362,393,1,0,2,29,4,170,30,113.103,143.034,138.138,35.5786,29.944,23.2226, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,363,362,1,0,3,27,3,172,45,110.556,153.556,148.111,15.528,6.56,4.15446, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,371.5,359.5,1,0,3,89,6,176,49,101.652,149.596,145.944,21.0096,7.78186,5.11181, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,307.25,158.25,1,0,2,27,3,174,38,107,143.778,140.222,40.2938,32.4081,26.8662, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,312.75,154.75,1,0,2,35,4,176,38,106.571,144.457,142.057,38.3962,31.0603,25.9353, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,305,471.5,1,0,1,15,3,186,47,92.0667,129.533,134,23.6111,21.7038,19.2099, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,159.5,460,1,0,1,23,3,186,53,98.2174,145.087,149.609,9.04853,4.74065,4.46083, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,211.5,434.5,1,0,1,41,4,184,48,103.293,146.756,151.024,32.1348,20.1347,15.3892, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,114.5,429.5,1,0,1,20,3,186,48,92.55,130.6,135.85,27.0566,22.0295,16.8848, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,148.5,417.5,1,0,1,25,3,182,36,109.8,144.6,145.68,38.0902,31.1755,25.9827, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,320.75,417.75,1,0,1,57,5,170,39,111.263,149.105,143.386,24.7904,20.1107,18.5916, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,92.5,412,1,0,1,23,3,190,63,80.1304,123.522,131.609,31.7222,28.3923,23.0941, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,387.5,412,1,0,1,27,3,180,38,102.074,138.111,137.889,20.6957,13.8303,11.8298, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,207,412,1,0,1,53,5,182,54,95.4717,144.132,146.358,30.3622,19.1066,12.2972, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,177,405,1,0,1,45,5,188,54,91.6,136.2,142.422,32.5605,21.0982,15.9495, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,329.75,403.75,1,0,1,73,5,174,39,113.726,150.726,146.795,34.6038,22.1435,17.0384, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,408,397,1,0,1,27,4,174,27,112.926,140.222,136.556,27.6374,22.8739,17.8969, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,130.4,398.3,1,0,1,88,5,182,52,110.477,156.795,158.625,12.694,5.70048,4.71212, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,418,380,1,0,1,59,5,170,37,112.729,149.339,143.186,29.1977,21.3225,16.9485, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,131.5,373,1,0,1,68,5,184,38,114.779,148.529,150.721,30.8752,21.1972,17.2859, "2016-06-12 [上午3:31:01]: no comment"
