Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,300,387,1,0,2,45,5,40,72,196.356,180.6,150.2,20.7756,18.5871,16.4971, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,304,381,1,0,2,77,6,40,60,205,195.169,174.338,33.4358,32.279,30.5044, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,327,465.5,1,0,1,32,4,44,134,232.969,220.344,183.688,23.4381,25.7747,23.1718, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,280,454,1,0,1,51,5,42,137,231.333,214.843,174.588,21.3707,21.2556,16.6646, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,314,446,1,0,1,76,6,44,93,222.842,212.645,185.5,29.5579,32.3523,29.8843, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,365,444.5,1,0,1,188,9,44,62,226.564,221.851,209.372,25.8947,28.4154,32.9554, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,227,437.5,1,0,1,145,7,46,163,239.862,228.469,187.069,18.3732,19.0662,15.1765, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,261.5,406,1,0,1,36,4,46,47,190.222,183.056,161.028,17.0487,16.762,16.025, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,154.5,389.5,1,0,1,86,5,48,112,236.663,230.698,208.663,17.2399,18.8697,19.356, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,196,381,1,0,1,70,5,50,156,241.286,233.029,196.814,14.0954,15.1673,12.8047, "2016-06-12 [上午4:34:01]: no comment"
