Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,253,420,1,0,1,134,7,46,63,211.813,204.619,184.478,13.1466,12.1688,10.9841, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,226,328,1,0,1,29,4,46,128,223.379,209.379,159.241,10.5174,8.33632,13.8859, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,240,328.5,1,0,1,85,6,38,68,225.388,217.235,202.553,11.5486,10.7951,11.9679, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,200,315.5,1,0,1,123,7,48,203,237.585,211.081,104.691,11.0874,9.19438,22.1395, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,194,303,1,0,1,78,6,38,90,231.923,222.513,207.128,13.4187,11.7617,11.9185, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,176,290,1,0,1,53,5,42,49,227.887,223.906,215.17,10.5397,9.6728,8.66205, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,152.5,272.5,1,0,1,77,5,42,62,230.221,225.065,213.714,10.9891,9.86308,10.4345, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,165,264.5,1,0,1,86,6,40,80,232.267,225.453,210.605,12.7458,11.9158,11.22, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,175.5,247,1,0,1,289,10,48,225,243.727,211.99,82.0484,11.1025,9.01015,24.5069, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,357.5,228,1,0,1,48,4,50,145,229.063,216.958,159.625,8.814,7.24819,14.0904, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,272,202,1,0,1,68,5,52,50,225.912,223.574,211.882,12.6249,12.4434,12.0341, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,296.75,192.75,1,0,1,75,5,42,54,224.72,219.813,208.933,15.9064,15.6712,14.4048, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,146.5,182,1,0,1,67,5,50,132,223.91,212.642,156.746,13.1541,11.3674,15.899, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,235.5,181.5,1,0,1,79,5,44,52,226.392,222.013,211.051,15.843,15.173,14.3653, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,266,168,1,0,1,62,5,60,37,220.435,219.532,208.419,17.6749,17.2011,15.7534, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,308.5,145.5,1,0,1,50,4,50,115,218.8,210.12,159.5,13.7844,12.5787,16.317, "2016-06-26 [下午 09:35:48]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2889.jpg", 1,368.75,86.75,1,0,1,92,6,42,69,220.109,212.25,193.543,13.9157,11.9729,9.87891, "2016-06-26 [下午 09:35:48]: no comment"
