Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,283.5,475.5,1,0,1,38,4,40,248,143.737,98.3947,1.63158,13.6755,2.84304,2.4765, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,386,424,1,0,1,45,4,42,251,138.556,98.5556,1.35556,14.5278,6.09708,2.46296, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,263.5,421.5,1,0,1,54,4,42,244,139.963,100.593,2.81481,22.8089,6.81033,3.78271, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,253.5,362.5,1,0,1,51,4,44,245,148.294,108.373,2.60784,23.1185,7.98447,3.31007, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,417,359.5,1,0,1,42,5,44,244,138.262,99.5238,2.71429,23.2807,8.15222,4.38263, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,74,354.5,1,0,1,33,4,40,239,153.212,105.091,5.33333,13.0799,4.17532,4.73084, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,399,345.5,1,0,1,73,5,44,251,142.603,104.123,1.49315,18.6276,7.009,3.19041, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,385.5,324,1,0,1,91,6,44,245,145.835,105.967,3.06593,22.1084,7.167,4.5357, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,293.5,302.5,1,0,1,51,4,44,242,154.353,111.824,4.2549,26.109,10.22,5.35144, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,191,297,1,0,1,104,6,44,245,154.692,116.913,3.31731,22.8694,7.65656,5.02221, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,432,292,1,0,1,99,6,42,245,142.687,102.566,2.61616,23.28,7.17777,3.86288, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,310,222,1,0,1,95,6,44,242,152.684,114.379,4.31579,25.8207,9.61355,5.69997, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,320,199,1,0,1,41,4,46,246,159.561,122.878,3.12195,23.2284,12.1644,4.06192, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,273.75,195.75,1,0,1,111,6,44,242,151.333,114.45,3.61261,28.2219,11.3269,5.18528, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,333.5,188.5,1,0,1,86,5,44,245,154.081,114.919,3.19767,23.54,8.04176,4.4702, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,387,136.5,1,0,1,89,6,42,245,149.393,106.247,2.76404,23.585,6.77924,4.02804, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,326,125.5,1,0,1,103,6,44,245,151.282,110.175,3.15534,26.6335,8.48776,4.813, "2016-06-26 [下午 09:42:28]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1003.png", 1,171,68,1,0,1,42,4,40,243,159.929,107.595,3.92857,14.6998,3.95248,4.68648, "2016-06-26 [下午 09:42:28]: no comment"
