Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,197.365,252.327,1,0,2,73,5,42,243,160.74,116.11,4.15068,23.038,7.47135,5.80773, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,192.5,246,1,0,2,23,3,42,246,163.13,117.217,2.73913,21.1285,7.41978,3.3814, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,374,431.5,1,0,1,43,4,40,244,132.767,91.093,2.93023,13.5009,3.95559,3.59154, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,380.5,391.5,1,0,1,38,4,66,251,116.789,129.553,1.05263,20.0196,23.5432,2.50346, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,393,383,1,0,1,30,4,42,244,136.7,95.3333,3.13333,19.6067,7.20931,4.37375, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,300.5,380.5,1,0,1,77,5,58,251,125.455,122.481,1.18182,22.5831,19.089,2.46587, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,384,353,1,0,1,63,5,44,248,138.095,99.6825,1.77778,23.5232,10.3941,2.67564, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,255.5,344.5,1,0,1,39,4,42,248,150.333,106.231,2.35897,23.2691,9.00468,3.22442, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,352,338,1,0,1,39,4,42,248,147.897,101.769,2.28205,25.116,9.62454,3.62091, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,205.5,339.5,1,0,1,69,5,44,248,150.275,110,2.47826,22.8273,8.43084,4.35619, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,359.5,332,1,0,1,23,3,56,251,140.174,129.391,1.3913,20.1984,18.1077,2.6613, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,213.5,329.5,1,0,1,41,4,50,252,147.146,124.488,1.29268,22.154,12.21,2.5964, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,354.5,320,1,0,1,70,5,42,245,144.1,104.243,2.6,26.4868,11.3654,3.92965, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,272.5,316,1,0,1,25,3,42,245,157.36,108.72,3.2,23.0361,8.73315,4.38231, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,205.5,311,1,0,1,69,5,62,251,140.348,143.188,1.02899,19.3775,28.0347,2.71921, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,296,301.5,1,0,1,67,5,56,251,138.955,130.149,1.43284,26.1944,19.9235,2.68597, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,305.5,296.5,1,0,1,28,3,66,252,129.929,144.75,1.32143,25.3808,30.8516,2.81371, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,213.5,284.5,1,0,1,69,5,44,248,153.246,113.652,2.11594,25.4501,10.4621,3.22981, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,167,283,1,0,1,30,4,40,240,167.6,115.533,4.76667,18.4807,3.81346,5.63093, "2016-06-26 [下午 09:28:19]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\DL147-3B.png", 1,122.5,247.5,1,0,1,66,5,44,245,156.03,113.924,2.59091,20.9962,6.93222,3.90755, "2016-06-26 [下午 09:28:19]: no comment"
