Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,187,252,1,0,3,45,4,8,63,214.044,190.511,186.667,6.22794,6.54826,6.22813, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,233.5,246.5,1,0,4,41,5,2,59,214.585,192.098,190.732,6.10846,7.12792,6.00256, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,231.5,242,1,0,4,22,3,10,54,214.318,196.182,192.182,7.88468,6.21916,4.73724, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,240.346,240.731,1,0,4,31,4,14,43,212.903,200.29,196.419,7.01801,9.06503,8.17871, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,143,98,1,0,2,29,4,316,5,161.31,157.448,159.655,3.27586,3.47172,3.29356, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,170.1,84.2,1,0,3,14,3,240,3,158.357,157.571,159.5,3.37869,3.3819,3.61179, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,93.75,388.75,1,0,1,135,7,0,26,192.563,179.022,179.452,11.03,11.5286,10.7127, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,212.5,384,1,0,1,16,3,8,12,176.625,169.625,169.063,4.88708,5.22604,5.56164, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,325,368,1,0,1,27,4,0,12,177.185,168.519,169.333,6.98168,5.75605,6.24228, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,143,358,1,0,1,43,4,0,7,172.047,166.558,166.512,9.9155,5.87186,6.13706, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,141.5,341,1,0,1,50,4,16,6,172.76,169.98,169.24,8.91343,7.77197,7.79576, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,266,328.5,1,0,1,92,6,20,81,223.891,204.565,194.826,7.77986,9.31879,8.23159, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,160.5,303.5,1,0,1,28,3,0,6,188.429,184.571,185.071,5.60146,5.47556,5.67462, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,204.5,293,1,0,1,23,3,14,18,194.913,188.087,186.304,5.87151,5.44202,5.14346, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,316,281,1,0,1,54,5,18,13,188.574,183.537,182.333,10.3147,7.81695,7.61928, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,280.5,275.5,1,0,1,27,3,6,18,196.63,188.815,188.37,5.78538,6.01876,5.83925, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,144.5,269,1,0,1,20,3,350,12,192.75,186.8,188.3,5.51525,4.50143,4.7027, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,398.5,268,1,0,1,53,4,16,14,187,181.434,179.038,8.17964,6.97324,7.24035, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,298,266,1,0,1,17,3,16,18,203.353,197.294,195.353,4.12375,5.49529,4.86449, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,244,253,1,0,1,21,3,12,10,196.286,191.762,191.476,4.75617,4.22054,3.87218, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,297.75,248.75,1,0,1,17,3,22,18,202.882,197.824,194.765,4.98353,3.77033,4.4561, "2016-06-12 [上午4:44:17]: no comment"
