Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,365,446,1,0,2,30,4,60,102,236.867,236.7,212.867,22.5665,22.6197,21.3564, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,371,444,1,0,2,26,3,64,67,237.269,238.5,225.615,20.6617,20.1778,22.4424, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,331,388,1,0,2,29,4,50,49,201.034,197.31,174.931,41.5569,39.1884,35.4763, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,436,370.5,1,0,2,39,4,98,60,237.282,241.744,233.846,17.4503,17.0172,20.645, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,226.5,320,1,0,2,24,3,62,58,217.083,218.292,195.708,19.9229,19.4379,17.1077, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,155,241,1,0,2,18,3,60,49,214.556,214.778,195.889,12.62,12.1732,11.3166, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,24.5,227.5,1,0,2,20,3,60,62,217.65,217.5,193.55,15.867,15.8879,14.1851, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,20,225,1,0,2,19,3,72,42,211.053,214.211,197.579,17.5131,17.8103,18.6376, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,470.5,196.5,1,0,2,43,4,144,182,249.047,253.651,251.07,4.2775,3.81923,4.54634, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,450,194,1,0,2,20,3,112,42,230.6,236.8,229.9,17.5873,16.8669,19.2178, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,451,171,1,0,2,29,4,120,67,242.828,248.448,243.414,11.4389,10.701,11.8898, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,437.5,169,1,0,2,54,5,120,41,236.704,242.185,236.593,18.1071,17.6367,19.9361, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,426.5,153,1,0,2,22,3,120,36,231.364,237.273,231.273,16.7669,16.1753,16.8378, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,432.5,150,1,0,2,48,4,132,55,241.354,246.5,241.938,13.7434,13.0779,14.3704, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,251.5,470,1,0,1,24,3,52,43,216,213.708,199.875,27.5314,27.5808,28.3653, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,284,470,1,0,1,42,4,58,77,225.476,224.119,199.262,27.2726,27.5125,25.7906, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,228.5,468,1,0,1,45,4,56,67,233.6,233.044,219.311,22.0485,22.8184,24.0601, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,264,467.5,1,0,1,50,4,56,64,216.48,214.02,190.06,32.7252,33.2133,31.4331, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,310.5,463.5,1,0,1,19,3,50,85,224.368,218.947,192.895,17.1936,17.077,16.1167, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,315,451,1,0,1,20,3,56,40,208.6,207.5,192.2,33.2357,32.6978,32.038, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,265.5,444.5,1,0,1,32,3,60,39,212.625,212.813,198.156,27.8325,27.9692,28.0522, "2016-06-12 [上午4:27:58]: no comment"
