Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,126.621,417.552,1,0,2,72,5,36,86,211.319,192.556,166.028,10.881,9.48837,9.85527, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,122.5,411,1,0,2,46,4,34,86,213.13,195.174,169.5,10.8876,9.4424,9.44097, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,53.5,318.5,1,0,2,27,3,38,128,237.926,225.074,203.519,12.8382,12.1851,12.4224, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,251,174,1,0,2,48,5,38,58,196.813,185.271,162.646,17.9935,17.7167,16.8765, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,254,166.5,1,0,2,44,5,42,54,196.295,185.886,164,18.7759,16.9177,15.118, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,77,117.5,1,0,2,22,4,46,184,249.455,242.091,217.773,5.98842,5.90741,7.11951, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,254,459.5,1,0,1,85,6,32,71,192.965,169.847,145.459,14.6101,12.6017,12.5377, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,187,452.5,1,0,1,82,6,30,79,203.085,180.232,155.695,16.194,14.5406,13.9875, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,403,419.5,1,0,1,30,4,38,81,206.533,190.367,161.9,6.42054,7.51912,7.02412, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,317,416.5,1,0,1,32,4,32,64,185.406,162.906,138.469,10.5324,10.8373,9.83878, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,388.5,414,1,0,1,42,4,38,61,187.548,172.714,146.071,10.6663,10.7865,9.55345, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,295,326,1,0,1,53,5,36,55,183.491,166.736,142.66,19.7552,17.7311,15.4926, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,412.75,294.25,1,0,1,23,3,32,75,194.696,172,145.391,6.78179,6.87552,8.09402, "2016-06-12 [上午4:15:41]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\3\3_77.png", 1,85.5,294.5,1,0,1,78,5,34,82,220.513,206.91,189.282,16.6621,15.496,14.4345, "2016-06-12 [上午4:15:41]: no comment"
