Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,82.8208,190.623,1,0,2,48,5,50,204,237.667,214.688,101.729,4.16447,3.67828,9.83822, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,80.5,185,1,0,2,47,4,50,212,240.064,217.085,91.7447,3.30083,3.86453,8.72525, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,147.75,156.25,1,0,2,23,3,52,87,222.522,219.261,189.565,20.0694,19.2524,15.2244, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,276.5,478.5,1,0,1,28,3,62,85,218.607,220.214,185.071,15.3958,13.8156,16.0971, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,263.5,478.5,1,0,1,29,3,62,87,221.448,221.759,188.483,16.1398,15.6209,15.864, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,268.5,475,1,0,1,16,3,74,31,220.5,222.25,213.313,27.1391,26.8566,26.585, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,288,469,1,0,1,21,3,196,51,219.143,227.524,230.667,15.8205,14.9783,14.9943, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,202.75,467.25,1,0,1,25,3,66,93,224.96,228.12,197.44,15.8202,16.4773,17.6351, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,316.25,460.25,1,0,1,36,4,172,23,207.25,214.806,214.139,28.7703,28.6785,27.995, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,229.5,457.5,1,0,1,29,3,196,48,217.241,225.862,229.069,22.9665,22.3084,21.2347, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,277.5,455,1,0,1,25,3,206,26,206.68,212.16,215.76,35.2914,34.3667,33.2816, "2016-06-26 [下午 09:31:40]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMAG2881.jpg", 1,208.5,451,1,0,1,34,4,180,39,225.088,233.471,232.912,15.3432,15.1779,14.6605, "2016-06-26 [下午 09:31:40]: no comment"
