Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,327,460.5,1,0,1,38,4,46,251,136.053,104.263,1.13158,13.0677,8.69718,1.92256, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,228,446,1,0,1,94,5,64,251,122.649,133.383,1.07447,14.251,18.2121,2.40091, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,162,428,1,0,1,39,4,40,245,146,97.6923,2.64103,18.097,5.67483,3.81468, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,119.5,424.5,1,0,1,40,4,44,248,140.125,101.025,1.55,17.987,7.31857,2.71683, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,373.5,344.5,1,0,1,35,3,50,252,147.171,123.371,1.2,17.7596,12.9334,2.03648, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,447.5,344.5,1,0,1,85,5,44,251,141.412,104.259,1.11765,17.4562,4.79211,2.07825, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,212,330,1,0,1,38,4,44,248,152.947,114.079,2.02632,20.3526,6.39191,3.47606, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,113.5,302.5,1,0,1,82,5,46,245,145.305,110.244,2.58537,24.1589,9.64272,3.92988, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,165,290.5,1,0,1,80,6,46,248,150.963,114.563,2.3625,24.7831,8.92124,3.60405, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,77.1,281.8,1,0,1,28,3,40,236,156.607,105.929,6.21429,18.2861,4.31586,5.54625, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,178.75,231.75,1,0,1,54,4,66,252,137.926,152.148,1.24074,22.2993,27.0849,2.84527, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,241.5,218.5,1,0,1,84,5,48,248,151.821,122.667,1.61905,20.0339,8.24131,2.79221, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,103,197,1,0,1,39,4,42,242,154.59,108.333,3.79487,21.4773,6.83681,5.14592, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,217,196,1,0,1,67,5,44,246,163.955,121.597,2.8806,20.8242,5.84093,4.67128, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,282,180,1,0,1,29,4,44,240,167.586,124.759,4.75862,20.8069,8.31864,5.47718, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,63.85,148.95,1,0,1,73,5,40,239,153.027,104.055,5.41096,17.9439,4.05157,5.15071, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,261,137.5,1,0,1,79,5,44,245,157.646,118.367,2.56962,23.8689,7.75461,3.80453, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,114.5,87.5,1,0,1,26,3,44,248,149.231,110.385,2.30769,16.6998,8.83521,4.00985, "2016-06-26 [下午 10:15:33]: no comment"
"Z:\Documents\NTU_CKLab\colony-algorithm\data\multiple_colony_data\IMG_1037.png", 1,270.5,59,1,0,1,86,6,44,248,147.302,106.395,2.40698,22.9408,6.19678,3.62978, "2016-06-26 [下午 10:15:33]: no comment"
