Group,Y,X
0,140,49
0,181,69
0,193,82
0,230,72
0,268,76
0,282,84
0,397,130
0,361,158
0,355,184
0,374,157
0,314,254
0,312,261
0,365,251
0,416,231
0,413,210
0,486,227
0,480,243
0,493,303
0,451,339
0,413,308
0,445,292
0,407,384
0,347,304
0,333,298
0,330,317
0,354,351
0,262,183
0,190,180
0,205,187
0,200,204
0,168,129
0,125,171
0,136,172
0,49,152
0,101,201
0,94,227
0,123,215
0,106,279
0,97,295
0,49,330
0,82,340
0,96,339
0,102,383
0,127,324
0,148,317
0,171,310
0,191,290
0,212,303
0,179,417
0,210,410
0,220,437
0,254,382
0,313,430
0,267,471
0,280,498
0,99,355
0,210,342
1,29,275
1,80,288
1,87,292
1,121,334
1,100,350
1,90,355
1,230,430
1,244,441
1,183,310
1,179,321
1,181,286
1,182,249
1,223,306
1,270,308
1,290,332
1,304,352
1,197,397
1,70,127
1,132,117
1,169,57
1,261,148
1,294,91
1,320,135
1,336,217
1,366,180
1,375,169
1,376,190
1,358,297
1,376,316
1,377,354
1,453,298
1,465,299
1,476,252
1,454,241
1,423,203
1,467,186
0,159,34
