Group,Y,X
0,43,203
0,44,150
0,51,228
0,58,142
0,59,243
1,60,166
0,61,152
1,63,195
0,66,177
0,71,105
0,76,326
0,87,141
0,92,289
0,94,280
0,94,88
0,100,128
0,108,363
1,108,73
0,109,105
1,111,293
0,118,69
0,120,232
0,121,305
1,121,106
0,125,386
0,124,225
1,124,54
1,128,89
0,132,122
0,131,73
0,131,414
0,132,248
1,134,234
0,136,346
1,136,391
0,143,184
0,147,52
0,152,206
0,154,296
1,165,71
1,165,289
0,167,39
1,170,223
0,168,425
1,169,58
0,173,51
0,177,113
0,178,44
1,182,167
1,187,272
0,188,287
0,194,201
0,197,367
0,196,29
0,198,216
0,197,255
1,198,300
0,198,79
0,199,117
0,205,168
0,206,343
0,207,134
0,210,111
0,210,86
0,219,42
0,218,65
1,219,99
0,225,245
1,227,128
0,227,155
0,229,87
0,233,289
1,234,106
0,240,59
0,241,348
0,242,376
0,248,197
0,254,212
0,258,36
1,258,283
1,263,463
0,262,102
1,266,298
0,266,204
0,266,349
0,272,215
0,275,164
0,277,229
0,279,106
0,280,212
0,279,289
1,280,20
0,281,125
0,285,269
0,285,166
1,286,156
0,289,144
0,295,258
0,301,208
0,306,149
1,308,87
0,308,367
0,315,470
1,318,360
1,320,245
1,326,188
0,332,260
0,336,224
0,335,363
0,339,245
0,353,127
0,352,193
0,355,42
1,359,65
0,362,120
0,369,406
1,385,195
0,385,53
0,392,168
0,394,140
0,394,151
0,399,109
1,417,289
0,423,281
0,432,334
0,434,101
0,466,265
1,476,305
1,322,120
